word,phonetic,pos,meaning_cn,level,gaokao_frequency,word_family,tags
anticipate,/ænˈtɪsəˌpeɪt/,v.,预期；占先,4,low,,action
antique,/ænˈtik/,n./adj.,古董,3,medium,,description
anxiety,/æŋˈzaɪəti/,n.,担忧；焦虑,2,high,,emotion
anxious,/ˈæŋkʃəs/,adj.,忧虑的；焦急的,2,medium,,description
any,/ˈɛni/,pron.,哪一个；哪些,1,high,,description
anybody,/ˈɛnibədi/,pron.,任何人；无论谁,3,low,,description
anyhow,/ˈɛniˌhaʊ/,adv.,不管怎样,4,low,,action
anyone,/ˈɛniˌwən/,pron.,任何人；无论谁,1,high,,description
anything,/ˈɛniˌθɪŋ/,pron.,什么事；任何事,1,high,,description
anyway,/ˈɛniˌweɪ/,adv.,不管怎样,4,low,,action
anywhere,/ˈɛniˌwɛr/,adv.,任何地方,3,medium,,action
apart,/əˈpɑrt/,adj./adv.,分离；相距,2,high,apartment,action
apartment,/əˈpɑrtmənt/,n.,房间；公寓,3,medium,apart,description
apologize,/əˈpɑləˌdʒaɪz/,v.,道歉；谢罪,3,medium,,action
apparent,/əˈpɛrənt/,adj.,显然的；外观的,3,low,apparently,description
apparently,/əˈpɛrəntli/,adv.,表面上；清楚地,3,medium,apparent,action
appeal,/əˈpil/,n./v.,恳求；申诉,2,medium,,action
appear,/əˈpɪr/,v.,出现；好像,1,high,disappear,action
appearance,/əˈpɪrəns/,n.,出现；露面,3,medium,,description
appendix,/əˈpɛndɪks/,n.,附录；阑尾,4,low,,description
appetite,/ˈæpəˌtaɪt/,n.,食欲；欲望,3,medium,,description
applaud,/əˈplɔd/,v.,鼓掌；赞许,4,low,,action
apple,/ˈæpəl/,n.,苹果,3,medium,,description
applicant,/ˈæplɪkənt/,n.,申请人,4,low,,description
application,/ˌæpləˈkeɪʃən/,n.,申请,2,medium,,description
apply,/əˈplaɪ/,v.,申请,1,high,,action
appoint,/əˈpɔɪnt/,v.,任命；委任,3,low,appointment,action
appointment,/əˈpɔɪntmənt/,n.,约会,3,low,"disappointment,appoint",description
appreciate,/əˈpriʃiˌeɪt/,v.,欣赏；感激,2,high,,emotion
appreciation,/əˌpriʃiˈeɪʃən/,n.,欣赏；鉴定,3,medium,,description
approach,/əˈproʊtʃ/,n./v.,接近；途径,1,high,,action
appropriate,/əˈproʊpriˌeɪt/,adj.,合适的；恰当的,3,low,,description
approve,/əˈpruv/,v.,赞成；同意,3,medium,,action
approximately,/əˈprɑksəmətli/,adv.,近似；大约,3,medium,,action
april,/ˈeɪprəl/,n.,月,2,high,,description
arab,/ˈærəb/,n./adj.,阿拉伯的；阿拉伯人,3,low,,description
arch,/ˈɑrtʃ/,n./v./adj.,拱；拱门,4,low,,action
architect,/ˈɑrkəˌtɛkt/,n.,建筑师；设计师,3,medium,,description
architecture,/ˈɑrkəˌtɛktʃɝ/,n.,建筑学；建筑设计,2,high,,description
area,/ˈɛriə/,n.,面积；地域,1,high,,description
argue,/ˈɑrɡju/,v.,争辩；争论,3,high,,action
argument,/ˈɑrɡjəmənt/,n.,争论；辩论,3,medium,,description
arise,/ɝˈaɪz/,v.,起来；升起,3,low,,action
arm,/ˈɑrm/,n./v.,手臂；袖子,2,high,,action
army,/ˈɑrmi/,n.,军队,4,low,,description
around,/ɝˈaʊn/,prep.,在周围；在附近,1,high,,description
arrange,/ɝˈeɪndʒ/,v.,安排；布置,2,medium,arrangement,action
arrangement,/ɝˈeɪndʒmənt/,n.,安排；布置,4,low,arrange,description
arrest,/ɝˈɛst/,n./v.,逮捕；拘留,4,low,,action
arrival,/ɝˈaɪvəl/,n.,到来；到达,2,medium,,description
arrive,/ɝˈaɪv/,v.,到达；达到,1,high,,action
arrow,/ˈæroʊ/,n.,箭；箭头,4,low,,description
art,/ˈɑrt/,n.,艺术；美术,1,high,,culture
article,/ˈɑrtəkəl/,n.,文章；东西,2,medium,,description
artificial,/ˌɑrtəˈfɪʃəl/,adj.,人工的；人造的,3,medium,,description
artist,/ˈɑrtəst/,n.,艺术家,1,high,,culture
as,/ˈæz/,adv./prep./conj.,作为；如同,1,high,,action
ash,/ˈæʃ/,n.,灰；灰末,4,low,,description
ashamed,/əˈʃeɪmd/,adj.,惭愧的；害臊的,3,medium,,description
asia,/ˈeɪʒə/,n.,亚洲,2,high,,description
asian,/ˈeɪʒən/,n./adj.,亚洲的；亚洲人,3,medium,,description
aside,/əˈsaɪd/,n./adv.,在旁边,2,high,,action
ask,/ˈæsk/,v.,问；请求,1,high,,action
asleep,/əˈslip/,adj./adv.,睡着的；熟睡,3,medium,,action
aspect,/ˈæsˌpɛkt/,n.,方面；外观,2,high,,description
assess,/əˈsɛs/,v.,评价；评定,3,medium,assessment,action
assessment,/əˈsɛsmənt/,n.,看法；评价,3,low,assess,description
assign,/əˈsaɪn/,v.,分配；指派,4,low,,action
assist,/əˈsɪst/,n./v.,帮助；协助,2,medium,,social
assistance,/əˈsɪstəns/,n.,帮助；援助,2,medium,,social
assistant,/əˈsɪstənt/,n./adj.,助手；助理,3,medium,,description
associate,/əˈsoʊsiˌeɪt/,n./v.,联系；结交,2,high,,action
association,/əˌsoʊsiˈeɪʃən/,n.,协会；社团,3,low,,description
assume,/əˈsum/,v.,假定；假设,3,medium,,reasoning
assumption,/əˈsəmpʃən/,n.,假定；假设,3,low,,reasoning
astonish,/əˈstɑnɪʃ/,v.,使惊讶,2,medium,,action
astronaut,/ˈæstrəˌnɑt/,n.,宇航员,4,low,,description
astronomer,/əˈstrɑnəmɝ/,n.,天文学家,4,low,,culture
at,/ˈæt/,prep.,在,1,high,,description
athlete,/ˈæθˌlit/,n.,运动员,3,low,,description
athletic,/æθˈlɛtɪk/,adj.,健壮的；体育运动的,4,low,,description
atlantic,/ətˈlænɪk/,n./adj.,大西洋的,4,low,,description
atmosphere,/ˈætməsˌfɪr/,n.,大气；气氛,3,medium,,description
atom,/ˈætəm/,n.,原子；微粒,4,low,,description
attach,/əˈtætʃ/,v.,把；固定,2,medium,,action
attack,/əˈtæk/,n./v.,攻击；袭击,2,high,,action
attain,/əˈteɪn/,v.,获得；得到,4,low,,action
attempt,/əˈtɛmpt/,n./v.,企图；试图,2,high,,action
attend,/əˈtɛnd/,v.,看护；照料,2,high,,action
attention,/əˈtɛnʃən/,n.,注意；关心,1,high,,description
attitude,/ˈætəˌtud/,n.,态度；看法,1,high,,emotion
attract,/əˈtrækt/,v.,吸引；引起,1,high,,action
attraction,/əˈtrækʃən/,n.,吸引；爱慕,2,high,,description
attractive,/əˈtræktɪv/,adj.,迷人的；有吸引力的,2,high,,description
audience,/ˈɑdiəns/,n.,观众；听众,2,high,,description
august,/ˈɑɡəst/,n./adj.,月,2,high,,description
aunt,/ˈænt/,n.,伯母；舅母,4,low,,description
australia,/ɔˈstreɪljə/,n.,澳洲；澳大利亚,2,high,,description
australian,/ɔˈstreɪljən/,n./adj.,澳洲的；澳大利亚人的,3,medium,,description
author,/ˈɔθɝ/,n.,作者；作家,1,high,,description
authority,/əˈθɔrəti/,n.,权力；权威,2,medium,,description
automatic,/ˌɔtəˈmætɪk/,n./adj.,自动的；机械的,4,low,,description
autonomous,/ɔˈtɑnəməs/,adj.,自治的；自主的,4,low,,description
autumn,/ˈɔtəm/,n.,秋天；秋季,3,low,,description
available,/əˈveɪləbəl/,adj.,可获得的；有空的,1,high,,description
avenue,/ˈævəˌnu/,n.,大道,3,medium,,description
average,/ˈævɝɪdʒ/,n./v./adj.,平均；普通的,2,medium,,action
avoid,/əˈvɔɪd/,v.,避免；躲开,1,high,,action
awake,/əˈweɪk/,v./adj.,醒着的；唤醒,3,medium,,action
award,/əˈwɔrd/,n./v.,奖金；授予,2,high,,action
aware,/əˈwɛr/,adj.,意识到的；意识到,2,high,,description
away,/əˈweɪ/,adv.,离开；远离,1,high,,action
awesome,/ˈɑsəm/,adj.,令人惊叹；很困难的,4,low,,description
awful,/ˈɑfəl/,adj.,很坏的；极讨厌的,4,low,,description
awkward,/ˈɑkwɝd/,adj.,令人尴尬；使人难堪的,2,medium,,description
baby,/ˈbeɪbi/,n.,婴儿,2,high,,description
back,/ˈbæk/,n./v./adj./adv.,后面的；使后退,1,high,,action
background,/ˈbækˌɡraʊnd/,n.,背景,2,medium,,description
backward,/ˈbækwɝd/,adj./adv.,向后地；相反地,4,low,,action
bacon,/ˈbeɪkən/,n.,咸猪肉；熏猪肉,4,low,,description
bad,/ˈbæd/,n./adj./adv.,坏的；有害的,1,high,,action
badly,/ˈbædli/,adv.,坏；恶劣地,3,medium,,action
badminton,/ˈbædˌmɪntən/,n.,羽毛球,4,low,,description
bag,/ˈbæɡ/,n./v.,书包；提包,2,high,,action
bake,/ˈbeɪk/,n./v.,烤；烘,4,low,,action
bakery,/ˈbeɪkɝi/,n.,面包店,4,low,,description
balance,/ˈbæləns/,n./v.,平衡；天平,2,medium,,action
ball,/ˈbɔl/,n./v.,球；舞会,2,high,,action
ballet,/bæˈleɪ/,n.,芭蕾舞,4,low,,description
balloon,/bəˈlun/,n./v.,气球,4,low,,action
bamboo,/bæmˈbu/,n.,竹,3,medium,,description
ban,/ˈbæn/,n./v.,禁令；禁止,3,low,,action
banana,/bəˈnænə/,n.,香蕉,4,low,,description
band,/ˈbænd/,n./v.,乐队,3,low,,action
bang,/ˈbæŋ/,n./v./adv.,砰,4,low,,action
bank,/ˈbæŋk/,n.,岸；堤,2,high,,description
bar,/ˈbɑr/,n./v.,条；棒,3,medium,,action
barbecue,/ˈbɑrbɪkˌju/,n./v.,烤肉野餐,4,low,,action
bare,/ˈbɛr/,v./adj.,赤裸的；空的,4,low,barely,action
barely,/ˈbɛrli/,adv.,几乎不,4,low,bare,action
bark,/ˈbɑrk/,n./v.,狗叫；狗叫声,3,medium,,action
barrier,/ˈbæriɝ/,n.,屏障；障碍,4,low,,description
base,/ˈbeɪs/,n./v./adj.,根据地；垒,2,high,basement,action
baseball,/ˈbeɪsˈbɔl/,n.,棒球,3,low,,description
basement,/ˈbeɪsmənt/,n.,地下室,4,low,base,description
basic,/ˈbeɪsɪk/,n./adj.,基本的,2,high,,description
basin,/ˈbeɪsən/,n.,水盆；脸盆,4,low,,description
basis,/ˈbeɪsəs/,n.,基础；根据,2,high,,description
basket,/ˈbæskət/,n./v.,篮子,2,medium,,action
basketball,/ˈbæskətˌbɔl/,n.,篮球,3,low,,description
bat,/ˈbæt/,n./v.,球棒；蝙蝠,4,low,,action
bath,/ˈbæθ/,n.,洗澡；浴室,2,high,,description
bathroom,/ˈbæˌθrum/,n.,浴室；盥洗室,2,medium,,description
battery,/ˈbætɝi/,n.,电池,4,low,,description
battle,/ˈbætəl/,n./v.,战斗；战役,2,medium,,action
bay,/ˈbeɪ/,n./v.,湾；海湾,3,medium,,action
bc,/ˌbiˈsi/,n.,公元前,4,low,,description
be,/ˈbi/,v.,是；表示,1,high,,action
beach,/ˈbitʃ/,n.,海滨；海滩,2,high,,description
beam,/ˈbim/,n./v.,平衡木,3,medium,,action
bean,/ˈbin/,n.,豆；豆科植物,3,medium,,nature
bear,/ˈbɛr/,n./v.,承受；负担,2,medium,,action
beard,/ˈbɪrd/,n./v.,胡须,4,low,,action
beast,/ˈbist/,n.,野兽；牲畜,4,low,,description
beat,/ˈbit/,n./v./adj.,敲打；跳动,2,high,,action
beautiful,/ˈbjutəfəl/,adj.,美；美丽,1,high,,description
beauty,/ˈbjuti/,n.,美丽；美人,2,high,,description
because,/bɪˈkɑz/,conj.,因为,1,high,,description
become,/bɪˈkəm/,v.,变成；变得,1,high,,action
bed,/ˈbɛd/,n./v.,床,2,high,,action
bedroom,/ˈbɛˌdrum/,n.,寝室；卧室,2,high,,description
bee,/ˈbi/,n.,蜜蜂,4,low,,description
beef,/ˈbif/,n./v.,牛肉,4,low,,action
beer,/ˈbɪr/,n.,啤酒,3,medium,,description
before,/ˌbiˈfɔr/,conj.,在；之前,1,high,,description
beg,/ˈbɛɡ/,v.,请求；乞求,3,medium,,action
begin,/bɪˈɡɪn/,v.,开始；着手,1,high,,action
beginning,/bɪˈɡɪnɪŋ/,n.,开始；开端,1,high,,description
behalf,/bɪˈhæf/,n.,利益；支持,4,low,,social
behave,/bɪˈheɪv/,v.,守规矩；行为,3,low,,action
behavior,/bɪˈheɪvjɝ/,n.,行为；举止,2,high,,description
behind,/bɪˈhaɪnd/,prep.,在；后面,1,high,,description
being,/ˈbiɪŋ/,n.,物；生物,1,high,,science
belgium,/ˈbɛldʒəm/,n.,比利时,4,low,,description
belief,/bɪˈlif/,n.,信条；信念,2,high,,description
believe,/bɪˈliv/,v.,相信；认为,1,high,,action
bell,/ˈbɛl/,n.,钟；铃,4,low,,description
belly,/ˈbɛli/,n./v.,肚子,4,low,,action
belong,/bɪˈlɔŋ/,v.,属；附属,3,medium,,action
below,/biˈloʊ/,prep.,在；下面,2,medium,,description
belt,/ˈbɛlt/,n.,腰带；地带,3,medium,,description
bench,/ˈbɛntʃ/,n.,长凳；工作台,3,medium,,description
bend,/ˈbɛnd/,n./v.,使弯曲,3,low,,action
beneath,/bɪˈniθ/,prep.,在；下方,3,low,,description
beneficial,/ˌbɛnəˈfɪʃəl/,adj.,有利的；有帮助的,4,low,,social
benefit,/ˈbɛnəfɪt/,n./v.,优势；益处,1,high,,action
beside,/ˌbiˈsaɪd/,prep.,在；旁边,3,medium,,description
besides,/ˌbiˈsaɪdz/,prep.,除；以外,3,low,,description
best,/ˈbɛst/,n./adj./adv.,最好的；最好地,1,high,,action
bet,/ˈbɛt/,n./v.,打赌；赌注,3,low,,action
better,/ˈbɛtɝ/,adj./adv.,好些；更好地,1,high,,action
between,/bitˈwin/,prep.,在之间；在,1,high,,description
beyond,/ˌbiˈɔnd/,prep.,在；的那边,4,high,,description
bicycle,/ˈbaɪsɪkəl/,n.,自行车,2,medium,,description
bid,/ˈbɪd/,n./v.,出价；投标,4,low,,action
big,/ˈbɪɡ/,adj./adv.,大的,1,high,,action
bike,/ˈbaɪk/,n.,自行车；脚踏车,3,medium,,description
bill,/ˈbɪl/,n./v.,账单；法案,2,high,,action
billion,/ˈbɪljən/,num.,十亿；百亿,2,medium,,description
biology,/baɪˈɑlədʒi/,n.,生物,4,low,,science
bird,/ˈbɝd/,n./v.,鸟,2,high,,action
birth,/ˈbɝθ/,n.,出生；诞生,3,medium,,description
birthday,/ˈbɝθˌdeɪ/,n.,生日,2,high,,description
biscuit,/ˈbɪskət/,n.,饼干,4,low,,description
bishop,/ˈbɪʃəp/,n.,主教,4,low,,description
bit,/ˈbɪt/,n./v.,一点；一些,2,medium,,action
bite,/ˈbaɪt/,n./v.,咬；叮,4,low,,action
bitter,/ˈbɪtɝ/,v./adj./adv.,有苦味的；痛苦的,4,low,,action
black,/ˈblæk/,n./adj.,黑色；黑色的,2,medium,,description
blackboard,/ˈblækˌbɔrd/,n.,黑板,4,low,,description
blame,/ˈbleɪm/,n./v.,责备；责怪,2,high,,action
blank,/ˈblæŋk/,n./v./adj.,空格；空白,4,low,,action
blanket,/ˈblæŋkət/,n./v./adj.,毛毯；毯子,3,medium,,action
bleed,/ˈblid/,v.,出血；流血,4,low,,action
bless,/ˈblɛs/,v.,保佑；降福,4,low,,action
blind,/ˈblaɪnd/,n./v./adj./adv.,瞎的,3,medium,,action
block,/ˈblɑk/,n./v.,街区；木块,2,high,,action
blog,/ˈblɔɡ/,n.,博客；部落格,4,low,,description
blood,/ˈbləd/,n./v.,血；血液,3,medium,,action
blouse,/ˈblaʊs/,n.,宽罩衫；短上衣,4,low,,description
blow,/ˈbloʊ/,n./v.,击；打击,3,medium,,action
blue,/ˈblu/,n./v./adj.,蓝色；蓝色的,2,high,,action
board,/ˈbɔrd/,n./v.,木板；甲板,1,high,,action
boat,/ˈboʊt/,n./v.,小船；小舟,3,medium,,action
body,/ˈbɑdi/,n./v.,身体,1,high,,action
boil,/ˈbɔɪl/,n./v.,沸腾；烧开,4,low,,action
bomb,/ˈbɑm/,n./v.,炸弹；轰炸,4,low,,action
bond,/ˈbɑnd/,n./v.,纽带；联系,2,medium,,action
bone,/ˈboʊn/,n./v.,骨头；骨质,3,low,,action
bonus,/ˈboʊnəs/,n.,津贴；奖金,4,low,,description
book,/ˈbʊk/,n./v.,书；本子,1,high,,action
boom,/ˈbum/,n./v.,隆隆声；激增,3,medium,,action
boost,/ˈbust/,n./v.,推进；吹捧,4,low,,action
boot,/ˈbut/,n./v.,长统靴；靴,4,low,,action
