word,pos,translation,tag,bnc,frq,exchange
active,,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的\nn. 主动语态, 积极分子",zk gk cet4 ky toefl,1316,1444,s:actives
activity,,"n. 活动, 行动, 活跃, 活力\n[计] 活动",zk gk cet4 ky ielts,412,537,s:activities
actor,,"n. 男演员, 行动者\n[医] 作用物, 反应物",gk cet4 ky ielts,2390,1497,s:actors
actress,,n. 女演员,gk cet4 ky,4829,3236,s:actresses
actual,,"a. 真实的, 实际的, 现行的\n[医] 实际死亡率",gk cet4 ky toefl,1396,1739,s:actuals
actually,,"adv. 事实上, 竟然, 如今, 现在",cet4 cet6 toefl,354,396,
acute,,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的\n[医] 急性的; 尖锐的",gk cet4 cet6 ky toefl ielts gre,3249,5255,s:acutes/t:acutest
ad,,"n. 广告\n[计] 地址, 模拟-数字",cet4,4324,1748,s:ads
adapt,,"vt. 使适应, 改编\nvi. 适应",gk cet4 cet6 ky toefl ielts gre,2816,2933,d:adapted/i:adapting/p:adapted/3:adapts
adaptation,,"n. 适应, 改编, 改编本\n[医] 适应[作用]",gk toefl,5438,5196,s:adaptations
add,,"vt. 增加, 添加, 附带说明, 计算...总和\nvi. 做加法, 积累而成, 增添\n[计] 加法",zk gk cet4 ky,330,340,p:added/d:added/i:adding/3:adds
addict,,"vt. 使沉溺, 使上瘾\nn. 入迷的人, 上瘾者",cet6 ky toefl ielts gre,10019,6091,d:addicted/s:addicts/i:addicting/p:addicted/3:addicts
addition,,"n. 加法, 增加的人(或物)\n[计] 加法",gk cet4 cet6 ky ielts gre,2841,2048,s:additions
address,,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址",zk gk cet4 cet6 ky toefl ielts gre,1522,1028,d:addressed/i:addressing/s:addresses/p:addressed/3:addresses
adequate,,"a. 适当的, 足够的\n[法] 胜任的, 适当的, 充分的",gk cet4 cet6 ky toefl ielts gre,2398,3297,
adjust,,"vt. 调整, 使适应于, 校准\nvi. 适应于, 被调节, 相互熟悉而适应",gk cet4 cet6 ky toefl ielts gre,2811,2300,d:adjusted/i:adjusting/p:adjusted/3:adjusts
adjustment,,"n. 调整, 调节, 校正\n[化] 调节",gk toefl,3424,3121,s:adjustments
administration,,"n. 行政, 管理, 政府机关\n[化] 给药",gk cet4 cet6 ky toefl ielts,1383,635,s:administrations
admire,,"vt. 赞美, 钦佩, 爱慕\nvi. 称赞, 惊奇",gk cet4 ky toefl gre,3283,3277,p:admired/d:admired/i:admiring/3:admires
admission,,"n. 准许进入, 入场费, 录用, 承认\n[经] 加入, 入股",gk cet4 cet6 ky toefl ielts gre,2768,3031,s:admissions
admit,,"vt. 承认, 接受, 允许进入, 容许\nvi. 开向, 容许, 承认",gk cet4 ky toefl,887,1089,p:admitted/d:admitted/3:admits/i:admitting
adolescent,,"a. 青春期的, 青少年的\nn. 青少年",gk cet6 ky toefl gre,8678,3386,s:adolescents
adopt,,"vt. 采用, 正式通过, 收养, 接受\n[医] 采取",gk cet4 cet6 ky toefl ielts gre,1157,1632,d:adopted/p:adopted/i:adopting/3:adopts
adorable,,"a. 可崇拜的, 值得敬慕的, 可爱的",,24935,12799,
adult,,"n. 成人, 成虫\na. 成年的, 成熟的",gk cet4 ky ielts,1236,969,s:adults
advance,,"n. 前进, 进展, 行过的路程\nvi. 前进, 进展, 提高, 上涨\nvt. 使前进, 促进, 提出, 提高, 使提前, 预付\na. 前面的, 预先的",gk cet4 cet6 ky toefl,1880,2296,s:advances/d:advanced/p:advanced/i:advancing/3:advances
advantage,,"n. 优点, 便利, 好处, 优势\nvt. 有助于",zk gk cet4 ky,969,1301,s:advantages/d:advantaged/i:advantaging/p:advantaged/3:advantages
adventure,,"n. 冒险, 冒险经历\nv. 冒险",gk cet4 ky toefl,3561,2862,s:adventures/i:adventuring/p:adventured/3:adventures/d:adventured
advertise,,"vt. 做广告, 通知, 公布\nvi. 做广告",gk cet4 cet6 ky ielts gre,4085,5124,d:advertised/p:advertised/i:advertising/3:advertises
advertisement,,"n. 广告, 启事, 广告宣传\n[法] 广告, 公告, 告示",zk gk cet4 ielts,3277,5957,s:advertisements
advice,,"n. 忠告, 劝告, 意见, 报道, 通知\n[经] 通知书, 通知, 建议",zk gk cet4 cet6 ky toefl ielts,962,1641,
advise,,"vt. 劝告, 给...出主意, 通知, 建议\nvi. 提意见, 商量",zk gk cet4 cet6 ky toefl,1728,2552,d:advised/p:advised/i:advising/3:advises
advocate,,"n. 提倡者, 拥护者\nvt. 主张, 提倡",gk cet4 cet6 ky toefl ielts gre,4031,2623,d:advocated/s:advocates/i:advocating/p:advocated/3:advocates
affair,,"n. 事件, 事务, 恋爱事件",gk cet4 cet6 ky toefl,941,1364,s:affairs
affect,,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于\nn. 自觉感情",gk cet4 cet6 ky toefl ielts,754,963,d:affected/i:affecting/3:affects/p:affected/s:affects
affection,,"n. 影响, 病, 喜爱, 情感, 倾向\n[医] 疾患, 病变, 病; 感情",gk cet4 cet6 ky toefl ielts gre,4103,5137,s:affections
afford,,"vt. 买得起, 足以, 给予",zk gk cet4 cet6 ky toefl ielts,1722,1846,d:afforded/3:affords/p:afforded/i:affording
afraid,,"a. 害怕的, 恐怕的, 遗憾的",zk gk,1562,1400,
africa,,n. 非洲,gk cet4 ielts,1250,0,
african,,"n. 非洲人\na. 非洲的, 非洲人的",gk cet4 ielts,2102,1203,s:africans
after,,"prep. 在...之后, 由于\nconj. 在...之后\nadv. 后来",zk gk,96,120,
afternoon,,"n. 午后, 下午",zk gk,1118,1191,s:afternoons
afterward,,"adv. 然后, 后来",gk cet4 cet6 ky,33038,4195,
again,,"adv. 再一次, 又, 到原处",zk gk,156,184,
against,,"prep. 反对, 对着, 倚靠",zk gk cet4 ky,155,180,
age,,"n. 年龄, 老年, 成年, 寿命, 时代, 时期\nv. 变老, 成熟",zk gk toefl ielts,363,386,s:ages/d:aged/i:ageing/3:ages/p:aged
agency,,"n. 代理机构, 经销商, 中介\n[化] 办事处",gk cet4 ky ielts,1036,694,s:agencies
agenda,,"pl. 议程, 日常工作事项\n[计] 待议事件",gk ky toefl ielts gre,3026,2130,s:agendas
agent,,"n. 代理商, 政府代表, 动原, 媒介\n[计] 代理程序",gk cet4 ky toefl,1214,1020,s:agents
aggression,,"n. 侵犯, 侵略\n[医] 攻击",gk cet6 toefl gre,4772,4521,s:aggressions
aggressive,,"a. 侵略的, 挑畔的, 进取的\n[法] 侵略的, 爱挑衅的, 行为过火的",gk cet4 cet6 ky toefl ielts gre,3648,2514,
ago,,adv. 以前,zk gk,504,316,
agree,,"vi. 同意, 赞成, 应允, 适合\nvt. 承认, 认定, 同意",zk gk,401,514,d:agreed/p:agreed/3:agrees/i:agreeing
agreement,,"n. 同意, 合约, 协议\n[经] 契约, 协议, 协定",zk gk ielts,623,1059,s:agreements
agricultural,,"a. 农业的\n[法] 农业的, 耕作的",gk,2188,3104,
agriculture,,"n. 农业\n[机] 农业, 农学",gk cet4 cet6 ky toefl ielts,2274,4165,
ahead,,"a. 领先的, 预先的, 向前的\nadv. 领先, 预先, 向前, 胜于, 在前面, 在将来",gk,1504,1025,
aid,,"n. 帮助, 外援, 助手\nvt. 援助, 帮助, 有助于\nvi. 帮助\n[计] 自动内部诊断",gk cet4 cet6 ky,1096,1640,s:aids/d:aided/i:aiding/p:aided/3:aids
aids,,"n. 爱滋病(获得性免疫缺陷综合征)\n[计] 高级综合数据系统, 先进交互调试系统, 自动图解文档编制系统\n美国决策学学会, 信息自动显示系统, 自动综合调试系统",gk ielts,3757,1793,0:aid/1:s3
aim,,"n. 目标, 瞄准, 击中目标的能力\nvi. 对准目标, 致力, 打算\nvt. 瞄准\n[计] 医学文摘索引, 存取隔离机构, 高级信息管理程序, 先进接口模块\n应用接口模块, 医学人工智能, 相联索引法, 异步接口模块\n自动化信息管理, 自动化综合制造, 自动化库存管理",gk cet4 cet6 ky toefl ielts,1261,1931,s:aims/3:aims/p:aimed/d:aimed/i:aiming
air,,"n. 空气, 旋律, 态度\nvt. 晾, 使通风, 夸耀",zk gk toefl ielts,527,370,d:aired/s:airs/i:airing/p:aired/3:airs
aircraft,,"n. 航空器, 飞机\n[机] 航空器",gk cet4 ky toefl,1538,2803,
airline,,"n. 航线, 航线的设备, 航空公司",zk gk cet4 ky,3554,2128,s:airlines
airplane,,n. 飞机\n[机] 飞机,zk gk cet4,21702,3519,s:airplanes
airport,,"n. 飞机场\n[机] 航空站, 机场",zk gk ielts,2541,1765,s:airports
alarm,,"n. 惊恐, 警报, 警钟\nvt. 使惊恐, 警告\n[计] 报警信号",gk cet4 ky toefl ielts,3004,3693,s:alarms/d:alarmed/p:alarmed/i:alarming/3:alarms
album,,"n. 粘贴簿, 唱片套\n[医] 白色物",gk cet6 ky ielts,2991,2215,s:albums
alcohol,,"n. 酒精, 酒\n[化] 醇; 乙醇; 酒精",gk cet4 ky,2654,2191,s:alcohols
alike,,"a. 相似的, 同样的\nadv. 一样, 以同样的方式",gk cet4 cet6 ky toefl,4989,4389,
alive,,"a. 活着的, 活泼的, 敏感的, 热闹的",zk gk cet4 cet6 ky,2080,1532,
all,,"a. 所有的, 全部的, 一切的\nadv. 全部, 全然\npron. 全部\nn. 全部",zk gk ielts,39,43,
alley,,"n. 小路, 巷",gk ielts,6528,4340,s:alleys
allocate,,"vt. 分派, 分配\n[计] 分配",gk cet6 ky toefl ielts gre,3035,6763,d:allocated/i:allocating/3:allocates/p:allocated
allow,,"vt. 允许, 同意给予, 承认\nvi. 容许, 猜想\n[计] 允许命令",zk gk cet4 ky,257,339,d:allowed/i:allowing/3:allows/p:allowed
allowance,,"n. 津贴, 零用钱, 限额, 折扣, 允许\nvt. 定量供应",gk cet6 ky ielts gre,2481,7677,s:allowances/i:allowancing/p:allowanced/3:allowances/d:allowanced
almost,,"adv. 几乎, 差不多",zk gk,280,291,
alone,,"a. 孤独的, 单独的, 独自的\nadv. 独自地",zk gk cet4 ky toefl ielts,1297,1097,
along,,"adv. 平行地, 向前\nprep. 沿着",zk gk,823,447,
alongside,,"adv. 在旁边, 靠拢着\nprep. 在...旁边, 与...在一起",gk cet6 ky ielts,2737,4203,
aloud,,"adv. 出声地, 大声地",zk gk cet4 ky,5849,5694,
already,,"adv. 已经, 早已",zk gk,255,334,
also,,"adv. 也, 并且, 同样地",zk gk,77,87,
alternative,,"n. 两者择一, 供替代的选择\na. 两者择一的, 供选择的\n[计] 选择对象",gk cet4 cet6 ky toefl ielts,1752,2073,s:alternatives
although,,"conj. 虽然, 尽管",zk gk cet4 ky,197,378,
altogether,,"adv. 完全地, 总而言之",gk cet4 ky,2575,3801,
always,,"adv. 总是, 始终",zk gk,185,206,
am,,"be的单数第一人称\n[计] 存取管理程序, 寻址方式, 地址标记, 变址数, 调幅, 辅助存储器",gk,3465,1192,s:ams/r:amer
amateur,,"n. 业余爱好者, 外行, 爱好者\n[电] 业余家",gk cet6 ky toefl ielts gre,5030,5795,s:amateurs
amazing,,a. 令人惊异的,gk toefl ielts,3667,2294,i:amazing/0:amazing/1:i
ambassador,,"n. 大使\n[法] 大使, 使节, 代理",gk cet6 ky ielts,4614,4520,s:ambassadors
ambiguous,,"a. 不明确的, 模棱两可的\n[法] 意思含糊的, 模棱两可的, 暧昧的",gk cet6 ky toefl ielts gre,6442,7071,
ambition,,"n. 野心, 志向",gk cet4 cet6 ky toefl ielts,3185,4283,s:ambitions
ambitious,,"a. 有野心的, 抱负不凡的, 雄心勃勃的",cet6 ky toefl ielts,4298,4287,
ambulance,,n. 救护车\n[医] 救护车,gk cet4 ky ielts,3860,5500,s:ambulances
america,,"n. 美洲, 美国",zk gk ielts,973,0,
american,,"n. 美国人\na. 美国的, 美洲的",zk gk ielts,636,176,s:americans
among,,prep. 在...之中,zk gk,418,279,
amount,,"n. 总数, 总额\nvi. 总计, 等同",gk cet4 ky toefl ielts,584,782,s:amounts/p:amounted/3:amounts/i:amounting/d:amounted
amuse,,"vt. 消遣, 娱乐, 使发笑",gk cet4 cet6 ky ielts gre,8734,9683,p:amused/d:amused/i:amusing/3:amuses/s:amuses
an,,art. 一,,30,0,
analysis,,n. 分析\n[计] 分析机; 分析员; 分析; 分析程序,gk cet4 cet6 ky toefl ielts,707,811,s:analyses
analyze,,"vt. 分析, 细察, 分解\n[机] 分析",gk cet4 toefl gre,13046,2316,d:analyzed/i:analyzing/p:analyzed/3:analyzes
ancestor,,"n. 祖先, 祖宗",gk cet4 cet6 ky toefl ielts gre,4793,4137,s:ancestors
ancient,,"a. 古代的, 古老的, 年老的, 旧的",zk gk cet4 cet6 ky ielts,1841,1817,s:ancients
and,,"conj. 和, 与\n[计] 与",zk gk,4,3,
anger,,"n. 忿怒\nvt. 激怒, 使发怒\nvi. 发怒",gk cet4 ky ielts,2489,2362,d:angered/p:angered/s:angers/3:angers/i:angering
angle,,"n. 角, 角度, 角落\nvi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度\nvt. 使转动角度, 在...钓鱼, 获取",gk cet4 ky toefl,2346,2989,s:angles/d:angled/i:angling/p:angled/3:angles
angry,,"a. 生气的, 愤怒的",zk gk ielts,2084,1705,r:angrier
animal,,n. 动物\n[医] 动物,zk gk ielts,652,728,s:animals
ankle,,"n. 踝\n[医] 踝, 踝关节",gk cet4 cet6 ky ielts,4387,3814,s:ankles
anniversary,,n. 周年纪念,gk cet6 ky ielts,3440,3374,s:anniversaries
announce,,"vt. 宣布, 声称, 显示, 预告\nvi. 当报幕员, 宣布参加竞选",gk cet4 cet6 ky toefl gre,795,1163,p:announced/d:announced/i:announcing/3:announces
announcement,,"n. 公告, 发表, 告知\n[经] 通告, 布告, 公告",gk toefl ielts,2825,3604,s:announcements
annoy,,"vt. 使恼怒, 骚扰",gk toefl ielts gre,7731,9844,p:annoyed/3:annoys/d:annoyed/i:annoying
annual,,"n. 年刊, 年报\na. 每年的, 一年一次的, 全年的, 一年生的",gk cet4 ky toefl ielts,1215,1361,s:annuals
another,,"a. 另外的, 再一的, 不同的\npron. 又一个, 另一个, 类似的另一个",zk gk,150,145,
answer,,"n. 答案, 回答, 回报, 答辩\nvt. 回答, 反驳, 适应, 响应, 符合\nvi. 回答, 答应, 负责, 符合, 成功\n[计] 用户问题及答案新闻组",zk gk,808,767,s:answers/p:answered/d:answered/i:answering/3:answers
ant,,n. 蚂蚁,zk gk cet4 ky,5833,5811,s:ants/p:anted/i:anting
anticipate,,"vt. 预期, 占先, 加速, 提前使用\n[医] 提前出现, 先期发生",cet4 cet6 ky toefl ielts gre,3106,3187,d:anticipated/i:anticipating/p:anticipated/3:anticipates
antique,,"n. 古董, 古物\na. 古老的, 古风的, 旧式的, 过时的",gk cet6 ky toefl ielts gre,6477,5748,s:antiques/p:antiqued/i:antiquing/3:antiques/d:antiqued
anxiety,,"n. 焦虑, 忧虑, 令人焦虑的事\n[医] 焦虑",gk cet4 cet6 ky toefl ielts,2612,2467,s:anxieties
anxious,,"a. 忧虑的, 发愁的, 渴望的",gk cet4 cet6 ky toefl,2630,3827,
any,,a. 任何的\npron. 任何,zk gk,78,109,
anybody,,pron. 任何人\nn. 重要人物,zk gk,1840,1380,
anyhow,,"adv. 无论如何, 至少",gk cet4 ky ielts,9090,9909,
anyone,,pron. 任何人,zk gk cet4 ky,662,659,
anything,,pron. 任何事,zk gk,315,331,
anyway,,"adv. 无论如何, 至少",zk cet4 ky,834,1393,s:anyways
anywhere,,adv. 无论何处,zk gk cet4 ky,2157,1879,
apart,,"adv. 成零碎, 成距离, 分别地, 分离着\na. 分离的",gk cet4 ky,2419,1971,
apartment,,"n. 房间, 公寓",gk cet4 ky ielts,3711,1273,s:apartments
apologize,,"vi. 道歉, 辩解",gk cet4 toefl gre,9168,3739,p:apologized/i:apologizing/3:apologizes/d:apologized
apparent,,"a. 清晰可见的, 显然的, 表面上的\n[电] 外在的",gk cet4 cet6 ky ielts,1770,2502,
apparently,,"adv. 表面上, 清楚地, 显然地",,1243,1407,
appeal,,"n. 恳求, 诉请, 上诉, 吸引力\nvi. 呼吁, 诉请, 要求, 上诉, 有吸引力\nvt. 将...上诉",gk cet4 cet6 ky toefl ielts gre,942,1852,s:appeals/p:appealed/i:appealing/d:appealed/3:appeals
appear,,"vi. 出现, 显得, 来到\n[法] 出庭, 到案, 出现",zk gk cet4 ky toefl,290,395,p:appeared/3:appears/i:appearing/d:appeared
appearance,,"n. 出现, 露面, 外观, 外表, 出版\n[计] 外观, 版面",gk cet4 ky ielts,1435,1684,s:appearances
appendix,,"n. 附录, 附加物, 阑尾\n[化] 增补",gk cet6 ky ielts,3748,12249,s:appendices
appetite,,"n. 食欲, 欲望, 爱好\n[医] 食欲",gk cet4 cet6 ky toefl ielts gre,5325,5205,s:appetites
applaud,,"v. 拍手喝彩, 称赞, 赞同",gk cet6 ky toefl ielts gre,7585,5722,p:applauded/d:applauded/i:applauding/3:applauds
apple,,"n. 苹果, 家伙\n[医] 苹果",zk gk,2446,2695,s:apples
applicant,,"n. 申请者\n[经] 申请人, 请求人, 谋事人",gk cet4 toefl ielts gre,3159,5512,s:applicants
application,,"n. 应用, 申请, 志愿书, 应用程序\n[计] 应用, 应用程序",gk cet4 cet6 ky toefl ielts gre,608,1519,s:applications
apply,,"vt. 涂, 应用\nvi. 申请, 适用",gk cet4 cet6 ky toefl ielts,522,938,d:applied/3:applies/i:applying/p:applied
appoint,,"vt. 任命, 指定, 下令\n[法] 派, 派任, 任命",gk cet4 cet6 ky toefl gre,1272,3172,d:appointed/p:appointed/i:appointing/3:appoints
appointment,,"n. 约会, 委任的职位, 委派\n[经] 任命, 派, 指定",gk cet4 cet6 ky toefl ielts,1558,3021,s:appointments
appreciate,,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏\nvi. 增值, 涨价",gk cet4 cet6 ky toefl ielts gre,1989,1738,d:appreciated/p:appreciated/i:appreciating/3:appreciates
appreciation,,"n. 感激, 赏识, 鉴别\n[经] 涨价, 增值",gk cet6 toefl,4701,4322,s:appreciations
approach,,"n. 接近, 入门\nvt. 接近, 近似, 找...商量\nvi. 靠近",gk cet4 cet6 ky toefl ielts gre,583,750,s:approaches/p:approached/i:approaching/d:approached/3:approaches
appropriate,,"a. 适当的\n[经] 适当的, 拨出, 占用",gk cet4 cet6 ky toefl ielts gre,883,1493,d:appropriated/3:appropriates/p:appropriated/i:appropriating
approve,,"vt. 赞同, 核准, 为...提供证据\nvi. 赞许",gk cet4 cet6 ky toefl,1762,2053,d:approved/p:approved/i:approving/3:approves
approximately,,"adv. 大约, 大致, 近于\n[经] 大约, 近似",gk cet4 cet6 toefl,2850,2365,
april,,n. 四月,zk gk ielts,684,0,
arab,,"n. 阿拉伯人, 阿拉伯马\na. 阿拉伯人的, 阿拉伯的",gk,26475,2201,s:arabs
arch,,"n. 拱门, 拱形, 足弓\nvt. 使成弓形\nvi. 拱起, 成弓形\na. 主要的, 调皮的, 傲慢无礼的, 狡猾的",gk cet6 ky toefl ielts gre,4771,6326,s:arches/p:arched/i:arching/d:arched/3:arches
architect,,"n. 建筑师, 设计者, 缔造者",gk cet4 cet6 ky toefl ielts gre,2891,3365,s:architects
architecture,,"n. 建筑学, 建筑式样\n[计] 体系结构",gk cet4 cet6 ky toefl ielts,2712,3509,s:architectures
area,,"n. 区域, 面积, 范围, 空地\n[计] 区域",zk gk cet4 ky ielts,149,230,s:areas
argue,,"vi. 提出理由, 争论, 辩论\nvt. 主张, 辩论, 证明, 说服",gk cet4 cet6 ky ielts,674,778,d:argued/p:argued/3:argues/i:arguing
argument,,"n. 争论, 论证, 论据, 自变量\n[计] 参数",gk cet4 ky ielts,832,1185,s:arguments
arise,,"vi. 站立, 出现, 起来",gk cet4 cet6 ky toefl ielts,1043,2581,i:arising/3:arises/p:arose/d:arisen
arm,,"n. 手臂, 袖子, 狭长港湾, 武器\nvt. 武装, 装备\nvi. 武装起来\n[计] 异步应答方式; 自动货品销路管理",zk gk,491,491,s:arms/d:armed/i:arming/p:armed/3:arms
army,,"n. 军队, 陆军",zk gk cet4 ky ielts,818,1539,s:armies
around,,"prep. 包围, 在...周围, 四处\nadv. 兜着圈子, 在附近, 到处",zk gk,397,264,
arrange,,"v. 安排, 排列, 达成协议\n[计] 重排",gk cet4 ky toefl,1324,2216,d:arranged/i:arranging/p:arranged/3:arranges
arrangement,,"n. 排列, 整齐, 安排\n[计] 排列",gk cet4 toefl,1092,2357,s:arrangements
arrest,,"n. 逮捕, 监禁\nvt. 拘捕, 抑制, 吸引, 阻止",gk cet4 cet6 ky toefl gre,2134,2140,d:arrested/s:arrests/i:arresting/p:arrested/3:arrests
