word,official_raw,official_level,teacher_number,pronunciation_source,pronunciation_status,pos_source,meaning_source,frequency_status,paper_hits,source_notes
above,above,junior,10,ipa-dict(en_US/CMUdict),corroborated,curated_function_words,teacher_pdf_gloss,historical_partial_2010_2022,11,2010:（新课标Ⅰ）;2010:（新课标Ⅱ）;2011:（新课标）;2014:（新课标ⅱ）;2016:（新课标Ⅰ）;2017:（新课标Ⅰ）;2017:（新课标ⅱ）;2019:（新课标Ⅰ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）;2020:（新课标Ⅲ）
abroad,abroad,junior,11,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2016:（新课标Ⅰ）;2016:（新课标ⅱ）
absence,absence**,selective_required,13,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2017:（新课标ⅲ）;2018:（新课标ⅱ）
absent,absent,junior,14,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2017:（新课标Ⅰ）
absolute,,extension,15,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2018:（新课标Ⅰ）
absolutely,absolutely*,required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,4,2017:（新课标ⅲ）;2020:（新课标Ⅰ）;2020:（新课标Ⅲ）;2021:（解析版）
absorb,absorb**,selective_required,16,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,4,2017:（新课标ⅲ）;2018:（新课标ⅲ）;2019:（新课标Ⅰ）;2019:（新课标Ⅱ）
abstract,abstract**,selective_required,17,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2017:（新课标Ⅰ）
abuse,abuse**,selective_required,20,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,0,
academic,academic**,selective_required,21,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2015:（新课标ⅱ）;2019:（新课标Ⅲ）
academy,,extension,22,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2011:（全国卷ii）;2018:（新课标ⅲ）
accent,accent**,selective_required,24,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2017:（新课标ⅲ）
accept,accept,junior,25,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,12,2010:（新课标Ⅱ）;2011:（全国卷ii）;2011:（新课标）;2014:（新课标ⅱ）;2015:（新课标ⅱ）;2016:（新课标ⅱ）;2016:（新课标ⅲ）;2017:（新课标ⅲ）;2018:（新课标ⅲ）;2020:（新课标Ⅰ）;2021:（新课标Ⅰ）;2022:（全国乙卷）
access,access**,selective_required,26,ipa-dict(en_US/CMUdict),corroborated,ECDICT,curated_override,historical_partial_2010_2022,3,2019:（新课标Ⅰ）;2020:（新课标Ⅰ）;2021:（解析版）
accessible,,extension,27,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,3,2010:（新课标Ⅰ）;2017:（新课标Ⅰ）;2022:（全国甲卷）
accident,accident*,required,28,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,6,2011:（全国卷ii）;2016:（新课标ⅱ）;2016:（新课标ⅲ）;2019:（新课标Ⅰ）;2022:（全国乙卷）;2022:（全国甲卷）
accommodation,accommodation**,selective_required,29,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2021:（新课标Ⅰ）
accompany,accompany**,selective_required,30,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,3,2017:（新课标Ⅰ）;2018:（新课标ⅲ）;2022:（全国乙卷）
accomplish,,extension,31,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,3,2014:（新课标Ⅰ）;2016:（新课标ⅱ）;2017:（新课标Ⅰ）
account,account*,required,33,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,7,2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2016:（新课标ⅲ）;2018:（新课标Ⅰ）;2018:（新课标ⅱ）;2020:（新课标Ⅰ）;2021:（新课标Ⅰ）
accountant,,extension,34,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2011:（新课标）
accuracy,,extension,36,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2015:（新课标Ⅰ）;2019:（新课标Ⅰ）
accurate,accurate**,selective_required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,1,2016:（新课标ⅱ）
accuse,accuse**,selective_required,37,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,0,
ache,ache*,required,39,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2013:（新课标Ⅰ）
achieve,achieve,junior,40,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,6,2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2014:（新课标ⅱ）;2016:（新课标ⅱ）;2019:（新课标Ⅱ）;2022:（全国甲卷）
achievement,achievement*,required,41,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2019:（新课标Ⅱ）;2020:（新课标Ⅰ）
acid,acid**,selective_required,42,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,0,
acknowledge,acknowledge**,selective_required,43,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2019:（新课标Ⅱ）;2019:（新课标Ⅲ）
acquire,acquire*,required,45,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2019:（新课标Ⅰ）
acquisition,,extension,46,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,0,
acre,,extension,47,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2016:（新课标Ⅰ）;2020:（新课标Ⅱ）
across,across,junior,48,ipa-dict(en_US/CMUdict),corroborated,curated_function_words,teacher_pdf_gloss,historical_partial_2010_2022,15,2010:（新课标Ⅰ）;2011:（新课标）;2012:（新课标）;2013:（新课标ii）;2014:（新课标Ⅰ）;2014:（新课标ⅱ）;2016:（新课标Ⅰ）;2016:（新课标ⅱ）;2017:（新课标Ⅰ）;2018:（新课标ⅱ）;2019:（新课标Ⅰ）;2019:（新课标Ⅱ）;2021:（新课标Ⅰ）;2022:（全国乙卷）;2022:（全国甲卷）
act,act,junior,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,14,2011:（全国卷ii）;2012:（新课标）;2013:（新课标ii）;2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2016:（新课标Ⅰ）;2017:（新课标Ⅰ）;2017:（新课标ⅱ）;2018:（新课标ⅱ）;2019:（新课标Ⅱ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）;2020:（新课标Ⅲ）;2021:（解析版）
action,action,junior,50,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,8,2010:（新课标Ⅱ）;2011:（全国卷ii）;2013:（新课标ii）;2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2015:（新课标Ⅰ）;2021:（解析版）;2022:（全国乙卷）
active,active,junior,51,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,6,2011:（全国卷ii）;2012:（新课标）;2016:（新课标ⅱ）;2017:（新课标Ⅰ）;2020:（新课标Ⅱ）;2022:（全国乙卷）
activity,activity,junior,52,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,15,2012:（新课标）;2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2014:（新课标ⅱ）;2016:（新课标ⅱ）;2017:（新课标Ⅰ）;2017:（新课标ⅲ）;2018:（新课标ⅱ）;2018:（新课标ⅲ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）;2020:（新课标Ⅲ）;2021:（新课标Ⅰ）;2021:（解析版）;2022:（全国乙卷）
actor,actor,junior,53,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,5,2012:（新课标）;2016:（新课标ⅱ）;2017:（新课标ⅱ）;2020:（新课标Ⅱ）;2020:（新课标Ⅲ）
actress,actress,junior,54,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2012:（新课标）
actual,,extension,55,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,6,2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2017:（新课标ⅲ）;2018:（新课标ⅱ）;2019:（新课标Ⅱ）;2020:（新课标Ⅰ）
actually,actually*,required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,13,2011:（全国卷ii）;2012:（新课标）;2013:（新课标Ⅰ）;2015:（新课标ⅱ）;2016:（新课标Ⅰ）;2016:（新课标ⅱ）;2017:（新课标Ⅰ）;2017:（新课标ⅲ）;2019:（新课标Ⅰ）;2019:（新课标Ⅲ）;2020:（新课标Ⅱ）;2020:（新课标Ⅲ）;2021:（新课标Ⅰ）
acute,,extension,56,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,0,
ad,AD**,selective_required,57,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2011:（新课标）;2019:（新课标Ⅱ）
adapt,adapt*,required,58,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2020:（新课标Ⅲ）
adaptation,adaptation**,selective_required,59,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,3,2015:（新课标Ⅰ）;2017:（新课标ⅲ）;2020:（新课标Ⅲ）
add,add,junior,60,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,12,2010:（新课标Ⅱ）;2011:（新课标）;2014:（新课标Ⅰ）;2016:（新课标ⅲ）;2017:（新课标ⅲ）;2018:（新课标Ⅰ）;2018:（新课标ⅲ）;2019:（新课标Ⅰ）;2019:（新课标Ⅲ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）;2022:（全国甲卷）
addict,addict*,required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,0,
addition,addition*,required,62,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,5,2011:（全国卷ii）;2015:（新课标ⅱ）;2017:（新课标Ⅰ）;2019:（新课标Ⅲ）;2020:（新课标Ⅰ）
address,address,junior,63,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,4,2011:（全国卷ii）;2014:（新课标ⅱ）;2017:（新课标ⅲ）;2022:（全国乙卷）
adequate,,extension,64,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,0,
adjust,adjust**,selective_required,65,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2019:（新课标Ⅱ）
adjustment,,extension,66,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2019:（新课标Ⅰ）
administration,administration**,selective_required,67,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2011:（新课标）;2017:（新课标ⅱ）
admire,admire*,required,69,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,4,2015:（新课标ⅱ）;2016:（新课标ⅲ）;2017:（新课标ⅲ）;2019:（新课标Ⅲ）
admission,,extension,70,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,8,2010:（新课标Ⅰ）;2015:（新课标Ⅰ）;2015:（新课标ⅱ）;2018:（新课标ⅲ）;2019:（新课标Ⅱ）;2020:（新课标Ⅱ）;2021:（解析版）;2022:（全国乙卷）
admit,admit*,required,71,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,8,2013:（新课标Ⅰ）;2018:（新课标ⅲ）;2019:（新课标Ⅱ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）;2021:（新课标Ⅰ）;2021:（解析版）;2022:（全国乙卷）
adolescent,,extension,73,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2014:（新课标Ⅰ）;2019:（新课标Ⅰ）
adopt,adopt**,selective_required,74,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,3,2013:（新课标Ⅰ）;2019:（新课标Ⅱ）;2020:（新课标Ⅰ）
adorable,adorable**,selective_required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,1,2021:（解析版）
adult,adult*,required,76,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,8,2010:（新课标Ⅰ）;2012:（新课标）;2014:（新课标Ⅰ）;2016:（新课标Ⅰ）;2017:（新课标Ⅰ）;2018:（新课标ⅲ）;2020:（新课标Ⅲ）;2022:（全国乙卷）
advance,advance*,required,77,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,7,2012:（新课标）;2014:（新课标ⅱ）;2017:（新课标ⅲ）;2018:（新课标Ⅰ）;2018:（新课标ⅱ）;2019:（新课标Ⅱ）;2022:（全国乙卷）
advantage,advantage,junior,78,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,5,2016:（新课标ⅲ）;2017:（新课标ⅱ）;2019:（新课标Ⅰ）;2019:（新课标Ⅱ）;2020:（新课标Ⅰ）
adventure,adventure*,required,79,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,7,2010:（新课标Ⅰ）;2010:（新课标Ⅱ）;2015:（新课标Ⅰ）;2016:（新课标ⅱ）;2018:（新课标ⅱ）;2020:（新课标Ⅱ）;2021:（新课标Ⅰ）
advertise,advertise**,selective_required,80,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,4,2011:（新课标）;2017:（新课标Ⅰ）;2017:（新课标ⅲ）;2019:（新课标Ⅱ）
advertisement,advertisement (ad)**,selective_required,81,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,3,2011:（新课标）;2013:（新课标Ⅰ）;2015:（新课标ⅱ）
advice,advice,junior,82,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,8,2010:（新课标Ⅱ）;2011:（全国卷ii）;2012:（新课标）;2013:（新课标ii）;2016:（新课标ⅲ）;2017:（新课标ⅲ）;2018:（新课标Ⅰ）;2019:（新课标Ⅱ）
advise,advise,junior,83,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,7,2010:（新课标Ⅱ）;2011:（全国卷ii）;2013:（新课标ii）;2014:（新课标Ⅰ）;2015:（新课标ⅱ）;2016:（新课标Ⅰ）;2017:（新课标ⅱ）
advocate,advocate**,selective_required,84,ipa-dict(en_US/CMUdict),corroborated,ECDICT,curated_override,historical_partial_2010_2022,1,2019:（新课标Ⅰ）
affair,affair*,required,86,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,3,2010:（新课标Ⅰ）;2014:（新课标ⅱ）;2016:（新课标ⅲ）
affect,affect**,selective_required,87,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,3,2015:（新课标Ⅰ）;2019:（新课标Ⅱ）;2021:（新课标Ⅰ）
affection,,extension,88,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2017:（新课标ⅱ）;2020:（新课标Ⅲ）
afford,afford,junior,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,5,2011:（全国卷ii）;2013:（新课标Ⅰ）;2020:（新课标Ⅱ）;2020:（新课标Ⅲ）;2021:（解析版）
afraid,afraid,junior,90,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,4,2010:（新课标Ⅰ）;2010:（新课标Ⅱ）;2011:（全国卷ii）;2018:（新课标ⅲ）
africa,Africa,junior,91,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,5,2012:（新课标）;2018:（新课标Ⅰ）;2019:（新课标Ⅰ）;2020:（新课标Ⅲ）;2022:（全国甲卷）
african,African,junior,92,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2012:（新课标）;2018:（新课标ⅲ）
after,after,junior,,ipa-dict(en_US/CMUdict),corroborated,curated_function_words,ECDICT,historical_partial_2010_2022,29,2010:（新课标Ⅰ）;2010:（新课标Ⅱ）;2011:（全国卷ii）;2011:（新课标）;2012:（新课标）;2013:（新课标ii）;2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2014:（新课标ⅱ）;2015:（新课标ⅱ）;2016:（新课标Ⅰ）;2016:（新课标ⅱ）;2016:（新课标ⅲ）;2017:（新课标Ⅰ）;2017:（新课标ⅱ）;2017:（新课标ⅲ）;2018:（新课标Ⅰ）;2018:（新课标ⅱ）;2018:（新课标ⅲ）;2019:（新课标Ⅰ）;2019:（新课标Ⅱ）;2019:（新课标Ⅲ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）;2020:（新课标Ⅲ）;2021:（新课标Ⅰ）;2021:（解析版）;2022:（全国乙卷）;2022:（全国甲卷）
afternoon,afternoon,junior,94,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,10,2011:（新课标）;2012:（新课标）;2013:（新课标ii）;2014:（新课标ⅱ）;2015:（新课标Ⅰ）;2016:（新课标ⅱ）;2016:（新课标ⅲ）;2018:（新课标Ⅰ）;2019:（新课标Ⅰ）;2021:（新课标Ⅰ）
afterward,afterward**,selective_required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,2,2011:（全国卷ii）;2018:（新课标Ⅰ）
again,again,junior,96,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,15,2010:（新课标Ⅱ）;2011:（全国卷ii）;2013:（新课标ii）;2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2014:（新课标ⅱ）;2015:（新课标Ⅰ）;2015:（新课标ⅱ）;2016:（新课标Ⅰ）;2018:（新课标Ⅰ）;2018:（新课标ⅲ）;2019:（新课标Ⅱ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）;2021:（新课标Ⅰ）
against,against,junior,97,ipa-dict(en_US/CMUdict),corroborated,curated_function_words,teacher_pdf_gloss,historical_partial_2010_2022,8,2011:（全国卷ii）;2013:（新课标ii）;2013:（新课标Ⅰ）;2015:（新课标ⅱ）;2016:（新课标Ⅰ）;2017:（新课标ⅱ）;2019:（新课标Ⅲ）;2021:（解析版）
age,age,junior,98,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,14,2010:（新课标Ⅱ）;2011:（新课标）;2014:（新课标Ⅰ）;2014:（新课标ⅱ）;2016:（新课标ⅱ）;2017:（新课标ⅱ）;2018:（新课标ⅱ）;2018:（新课标ⅲ）;2019:（新课标Ⅰ）;2020:（新课标Ⅱ）;2020:（新课标Ⅲ）;2021:（新课标Ⅰ）;2021:（解析版）;2022:（全国甲卷）
agency,agency**,selective_required,99,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,3,2011:（新课标）;2016:（新课标Ⅰ）;2019:（新课标Ⅰ）
agenda,agenda**,selective_required,100,ipa-dict(en_US/CMUdict),corroborated,teacher_pdf,teacher_pdf_gloss,historical_partial_2010_2022,1,2018:（新课标ⅲ）
agent,,extension,101,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2016:（新课标ⅱ）;2017:（新课标ⅱ）
aggression,,extension,102,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,0,
aggressive,,extension,103,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,3,2012:（新课标）;2017:（新课标ⅱ）;2019:（新课标Ⅰ）
ago,ago,junior,104,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,16,2010:（新课标Ⅱ）;2011:（全国卷ii）;2011:（新课标）;2013:（新课标ii）;2014:（新课标ⅱ）;2015:（新课标ⅱ）;2016:（新课标Ⅰ）;2016:（新课标ⅱ）;2016:（新课标ⅲ）;2017:（新课标Ⅰ）;2017:（新课标ⅱ）;2018:（新课标Ⅰ）;2019:（新课标Ⅰ）;2020:（新课标Ⅲ）;2021:（新课标Ⅰ）;2021:（解析版）
agree,agree,junior,105,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,11,2010:（新课标Ⅰ）;2010:（新课标Ⅱ）;2011:（新课标）;2013:（新课标Ⅰ）;2016:（新课标Ⅰ）;2018:（新课标Ⅰ）;2018:（新课标ⅱ）;2018:（新课标ⅲ）;2019:（新课标Ⅱ）;2020:（新课标Ⅲ）;2022:（全国甲卷）
agreement,agreement,junior,106,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2010:（新课标Ⅰ）;2016:（新课标Ⅰ）
agricultural,,extension,107,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,0,
agriculture,agriculture*,required,108,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2017:（新课标Ⅰ）;2018:（新课标ⅱ）
ahead,ahead*,required,109,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,7,2010:（新课标Ⅰ）;2011:（新课标）;2012:（新课标）;2014:（新课标ⅱ）;2016:（新课标ⅲ）;2018:（新课标ⅱ）;2022:（全国乙卷）
