word,current_value,classification,candidates,reason
achievement,achieve,reliable_value,achieve,matches_fixed_conservative_affix_policy_and_members_exist
acid,,should_not_fill,,no_current_value_or_fixed_source_candidate
acknowledge,,should_not_fill,,no_current_value_or_fixed_source_candidate
acquire,,should_not_fill,,no_current_value_or_fixed_source_candidate
acquisition,,should_not_fill,,no_current_value_or_fixed_source_candidate
acre,,should_not_fill,,no_current_value_or_fixed_source_candidate
across,,should_not_fill,,no_current_value_or_fixed_source_candidate
act,,should_not_fill,,no_current_value_or_fixed_source_candidate
action,,should_not_fill,,no_current_value_or_fixed_source_candidate
active,,should_not_fill,,no_current_value_or_fixed_source_candidate
activity,,should_not_fill,,no_current_value_or_fixed_source_candidate
actor,,should_not_fill,,no_current_value_or_fixed_source_candidate
actress,,should_not_fill,,no_current_value_or_fixed_source_candidate
actual,actually,reliable_value,actually,matches_fixed_conservative_affix_policy_and_members_exist
actually,actual,reliable_value,actual,matches_fixed_conservative_affix_policy_and_members_exist
acute,,should_not_fill,,no_current_value_or_fixed_source_candidate
ad,,should_not_fill,,no_current_value_or_fixed_source_candidate
adapt,,should_not_fill,,no_current_value_or_fixed_source_candidate
adaptation,,should_not_fill,,no_current_value_or_fixed_source_candidate
add,,should_not_fill,,no_current_value_or_fixed_source_candidate
addict,,should_not_fill,,no_current_value_or_fixed_source_candidate
addition,,should_not_fill,,no_current_value_or_fixed_source_candidate
address,,should_not_fill,,no_current_value_or_fixed_source_candidate
adequate,,should_not_fill,,no_current_value_or_fixed_source_candidate
adjust,adjustment,reliable_value,adjustment,matches_fixed_conservative_affix_policy_and_members_exist
adjustment,adjust,reliable_value,adjust,matches_fixed_conservative_affix_policy_and_members_exist
administration,,should_not_fill,,no_current_value_or_fixed_source_candidate
admire,,should_not_fill,,no_current_value_or_fixed_source_candidate
admission,,should_not_fill,,no_current_value_or_fixed_source_candidate
admit,,should_not_fill,,no_current_value_or_fixed_source_candidate
adolescent,,should_not_fill,,no_current_value_or_fixed_source_candidate
adopt,,should_not_fill,,no_current_value_or_fixed_source_candidate
adorable,,should_not_fill,,no_current_value_or_fixed_source_candidate
adult,,should_not_fill,,no_current_value_or_fixed_source_candidate
advance,,should_not_fill,,no_current_value_or_fixed_source_candidate
advantage,disadvantage,reliable_value,disadvantage,matches_fixed_conservative_affix_policy_and_members_exist
adventure,,should_not_fill,,no_current_value_or_fixed_source_candidate
advertise,advertisement,reliable_value,advertisement,matches_fixed_conservative_affix_policy_and_members_exist
advertisement,advertise,reliable_value,advertise,matches_fixed_conservative_affix_policy_and_members_exist
advice,,should_not_fill,,no_current_value_or_fixed_source_candidate
advise,,should_not_fill,,no_current_value_or_fixed_source_candidate
advocate,,should_not_fill,,no_current_value_or_fixed_source_candidate
affair,,should_not_fill,,no_current_value_or_fixed_source_candidate
affect,,should_not_fill,,no_current_value_or_fixed_source_candidate
affection,,should_not_fill,,no_current_value_or_fixed_source_candidate
afford,,should_not_fill,,no_current_value_or_fixed_source_candidate
afraid,,should_not_fill,,no_current_value_or_fixed_source_candidate
africa,,should_not_fill,,no_current_value_or_fixed_source_candidate
african,,should_not_fill,,no_current_value_or_fixed_source_candidate
after,,should_not_fill,,no_current_value_or_fixed_source_candidate
afternoon,,should_not_fill,,no_current_value_or_fixed_source_candidate
afterward,,should_not_fill,,no_current_value_or_fixed_source_candidate
again,,should_not_fill,,no_current_value_or_fixed_source_candidate
against,,should_not_fill,,no_current_value_or_fixed_source_candidate
age,,should_not_fill,,no_current_value_or_fixed_source_candidate
agency,,should_not_fill,,no_current_value_or_fixed_source_candidate
agenda,,should_not_fill,,no_current_value_or_fixed_source_candidate
agent,,should_not_fill,,no_current_value_or_fixed_source_candidate
aggression,,should_not_fill,,no_current_value_or_fixed_source_candidate
aggressive,,should_not_fill,,no_current_value_or_fixed_source_candidate
ago,,should_not_fill,,no_current_value_or_fixed_source_candidate
agree,"disagree,agreement",reliable_value,"disagree,agreement",matches_fixed_conservative_affix_policy_and_members_exist
agreement,agree,reliable_value,agree,matches_fixed_conservative_affix_policy_and_members_exist
agricultural,,should_not_fill,,no_current_value_or_fixed_source_candidate
agriculture,,should_not_fill,,no_current_value_or_fixed_source_candidate
ahead,,should_not_fill,,no_current_value_or_fixed_source_candidate
aid,,auto_fill_candidate,"s:aids,3:aids",ECDICT_exchange_has_reciprocal_in_vocabulary_candidate_candidate_only_no_write
aids,,auto_fill_candidate,0:aid,ECDICT_exchange_has_reciprocal_in_vocabulary_candidate_candidate_only_no_write
aim,,should_not_fill,,no_current_value_or_fixed_source_candidate
air,,should_not_fill,,no_current_value_or_fixed_source_candidate
aircraft,,should_not_fill,,no_current_value_or_fixed_source_candidate
airline,,should_not_fill,,no_current_value_or_fixed_source_candidate
airplane,,should_not_fill,,no_current_value_or_fixed_source_candidate
airport,,should_not_fill,,no_current_value_or_fixed_source_candidate
alarm,,should_not_fill,,no_current_value_or_fixed_source_candidate
album,,should_not_fill,,no_current_value_or_fixed_source_candidate
alcohol,,should_not_fill,,no_current_value_or_fixed_source_candidate
alike,,should_not_fill,,no_current_value_or_fixed_source_candidate
alive,,should_not_fill,,no_current_value_or_fixed_source_candidate
all,,should_not_fill,,no_current_value_or_fixed_source_candidate
alley,,should_not_fill,,no_current_value_or_fixed_source_candidate
allocate,,should_not_fill,,no_current_value_or_fixed_source_candidate
allow,,should_not_fill,,no_current_value_or_fixed_source_candidate
allowance,,should_not_fill,,no_current_value_or_fixed_source_candidate
almost,,should_not_fill,,no_current_value_or_fixed_source_candidate
alone,,should_not_fill,,no_current_value_or_fixed_source_candidate
along,,should_not_fill,,no_current_value_or_fixed_source_candidate
alongside,,should_not_fill,,no_current_value_or_fixed_source_candidate
aloud,,should_not_fill,,no_current_value_or_fixed_source_candidate
already,,should_not_fill,,no_current_value_or_fixed_source_candidate
also,,should_not_fill,,no_current_value_or_fixed_source_candidate
alternative,,should_not_fill,,no_current_value_or_fixed_source_candidate
although,,should_not_fill,,no_current_value_or_fixed_source_candidate
altogether,,should_not_fill,,no_current_value_or_fixed_source_candidate
always,,should_not_fill,,no_current_value_or_fixed_source_candidate
am,,should_not_fill,,no_current_value_or_fixed_source_candidate
amateur,,should_not_fill,,no_current_value_or_fixed_source_candidate
amazing,,should_not_fill,,no_current_value_or_fixed_source_candidate
ambassador,,should_not_fill,,no_current_value_or_fixed_source_candidate
ambiguous,,should_not_fill,,no_current_value_or_fixed_source_candidate
ambition,,should_not_fill,,no_current_value_or_fixed_source_candidate
ambitious,,should_not_fill,,no_current_value_or_fixed_source_candidate
ambulance,,should_not_fill,,no_current_value_or_fixed_source_candidate
america,,should_not_fill,,no_current_value_or_fixed_source_candidate
american,,should_not_fill,,no_current_value_or_fixed_source_candidate
among,,should_not_fill,,no_current_value_or_fixed_source_candidate
amount,,should_not_fill,,no_current_value_or_fixed_source_candidate
amuse,,should_not_fill,,no_current_value_or_fixed_source_candidate
an,,should_not_fill,,no_current_value_or_fixed_source_candidate
analysis,,should_not_fill,,no_current_value_or_fixed_source_candidate
analyze,,should_not_fill,,no_current_value_or_fixed_source_candidate
ancestor,,should_not_fill,,no_current_value_or_fixed_source_candidate
ancient,,should_not_fill,,no_current_value_or_fixed_source_candidate
and,,should_not_fill,,no_current_value_or_fixed_source_candidate
anger,,should_not_fill,,no_current_value_or_fixed_source_candidate
angle,,should_not_fill,,no_current_value_or_fixed_source_candidate
angry,,should_not_fill,,no_current_value_or_fixed_source_candidate
animal,,should_not_fill,,no_current_value_or_fixed_source_candidate
ankle,,should_not_fill,,no_current_value_or_fixed_source_candidate
anniversary,,should_not_fill,,no_current_value_or_fixed_source_candidate
announce,announcement,reliable_value,announcement,matches_fixed_conservative_affix_policy_and_members_exist
announcement,announce,reliable_value,announce,matches_fixed_conservative_affix_policy_and_members_exist
annoy,,should_not_fill,,no_current_value_or_fixed_source_candidate
annual,,should_not_fill,,no_current_value_or_fixed_source_candidate
another,,should_not_fill,,no_current_value_or_fixed_source_candidate
answer,,should_not_fill,,no_current_value_or_fixed_source_candidate
ant,,should_not_fill,,no_current_value_or_fixed_source_candidate
anticipate,,should_not_fill,,no_current_value_or_fixed_source_candidate
antique,,should_not_fill,,no_current_value_or_fixed_source_candidate
anxiety,,should_not_fill,,no_current_value_or_fixed_source_candidate
anxious,,should_not_fill,,no_current_value_or_fixed_source_candidate
any,,should_not_fill,,no_current_value_or_fixed_source_candidate
anybody,,should_not_fill,,no_current_value_or_fixed_source_candidate
anyhow,,should_not_fill,,no_current_value_or_fixed_source_candidate
anyone,,should_not_fill,,no_current_value_or_fixed_source_candidate
anything,,should_not_fill,,no_current_value_or_fixed_source_candidate
anyway,,should_not_fill,,no_current_value_or_fixed_source_candidate
anywhere,,should_not_fill,,no_current_value_or_fixed_source_candidate
apart,,should_not_fill,,no_current_value_or_fixed_source_candidate
apartment,,should_not_fill,,no_current_value_or_fixed_source_candidate
apologize,,should_not_fill,,no_current_value_or_fixed_source_candidate
apparent,apparently,reliable_value,apparently,matches_fixed_conservative_affix_policy_and_members_exist
apparently,apparent,reliable_value,apparent,matches_fixed_conservative_affix_policy_and_members_exist
appeal,,should_not_fill,,no_current_value_or_fixed_source_candidate
appear,disappear,reliable_value,disappear,matches_fixed_conservative_affix_policy_and_members_exist
appearance,,should_not_fill,,no_current_value_or_fixed_source_candidate
appendix,,should_not_fill,,no_current_value_or_fixed_source_candidate
appetite,,should_not_fill,,no_current_value_or_fixed_source_candidate
applaud,,should_not_fill,,no_current_value_or_fixed_source_candidate
apple,,should_not_fill,,no_current_value_or_fixed_source_candidate
applicant,,should_not_fill,,no_current_value_or_fixed_source_candidate
application,,should_not_fill,,no_current_value_or_fixed_source_candidate
apply,,should_not_fill,,no_current_value_or_fixed_source_candidate
appoint,appointment,reliable_value,appointment,matches_fixed_conservative_affix_policy_and_members_exist
appointment,"disappointment,appoint",reliable_value,"disappointment,appoint",matches_fixed_conservative_affix_policy_and_members_exist
appreciate,,should_not_fill,,no_current_value_or_fixed_source_candidate
appreciation,,should_not_fill,,no_current_value_or_fixed_source_candidate
approach,,should_not_fill,,no_current_value_or_fixed_source_candidate
appropriate,,should_not_fill,,no_current_value_or_fixed_source_candidate
approve,,should_not_fill,,no_current_value_or_fixed_source_candidate
approximately,,should_not_fill,,no_current_value_or_fixed_source_candidate
april,,should_not_fill,,no_current_value_or_fixed_source_candidate
arab,,should_not_fill,,no_current_value_or_fixed_source_candidate
arch,,should_not_fill,,no_current_value_or_fixed_source_candidate
architect,,should_not_fill,,no_current_value_or_fixed_source_candidate
architecture,,should_not_fill,,no_current_value_or_fixed_source_candidate
area,,should_not_fill,,no_current_value_or_fixed_source_candidate
argue,,should_not_fill,,no_current_value_or_fixed_source_candidate
argument,,should_not_fill,,no_current_value_or_fixed_source_candidate
arise,,should_not_fill,,no_current_value_or_fixed_source_candidate
arm,,should_not_fill,,no_current_value_or_fixed_source_candidate
army,,should_not_fill,,no_current_value_or_fixed_source_candidate
around,,should_not_fill,,no_current_value_or_fixed_source_candidate
arrange,arrangement,reliable_value,arrangement,matches_fixed_conservative_affix_policy_and_members_exist
arrangement,arrange,reliable_value,arrange,matches_fixed_conservative_affix_policy_and_members_exist
arrest,,should_not_fill,,no_current_value_or_fixed_source_candidate
arrival,,should_not_fill,,no_current_value_or_fixed_source_candidate
arrive,,should_not_fill,,no_current_value_or_fixed_source_candidate
arrow,,should_not_fill,,no_current_value_or_fixed_source_candidate
art,,should_not_fill,,no_current_value_or_fixed_source_candidate
article,,should_not_fill,,no_current_value_or_fixed_source_candidate
artificial,,should_not_fill,,no_current_value_or_fixed_source_candidate
artist,,should_not_fill,,no_current_value_or_fixed_source_candidate
as,,should_not_fill,,no_current_value_or_fixed_source_candidate
ash,,should_not_fill,,no_current_value_or_fixed_source_candidate
ashamed,,should_not_fill,,no_current_value_or_fixed_source_candidate
asia,,should_not_fill,,no_current_value_or_fixed_source_candidate
asian,,should_not_fill,,no_current_value_or_fixed_source_candidate
aside,,should_not_fill,,no_current_value_or_fixed_source_candidate
ask,,should_not_fill,,no_current_value_or_fixed_source_candidate
asleep,,should_not_fill,,no_current_value_or_fixed_source_candidate
aspect,,should_not_fill,,no_current_value_or_fixed_source_candidate
assess,assessment,reliable_value,assessment,matches_fixed_conservative_affix_policy_and_members_exist
assessment,assess,reliable_value,assess,matches_fixed_conservative_affix_policy_and_members_exist
assign,,should_not_fill,,no_current_value_or_fixed_source_candidate
assist,,should_not_fill,,no_current_value_or_fixed_source_candidate
assistance,,should_not_fill,,no_current_value_or_fixed_source_candidate
assistant,,should_not_fill,,no_current_value_or_fixed_source_candidate
associate,,should_not_fill,,no_current_value_or_fixed_source_candidate
association,,should_not_fill,,no_current_value_or_fixed_source_candidate
assume,,should_not_fill,,no_current_value_or_fixed_source_candidate
assumption,,should_not_fill,,no_current_value_or_fixed_source_candidate
astonish,,should_not_fill,,no_current_value_or_fixed_source_candidate
astronaut,,should_not_fill,,no_current_value_or_fixed_source_candidate
astronomer,,should_not_fill,,no_current_value_or_fixed_source_candidate
at,,should_not_fill,,no_current_value_or_fixed_source_candidate
athlete,,should_not_fill,,no_current_value_or_fixed_source_candidate
athletic,,should_not_fill,,no_current_value_or_fixed_source_candidate
atlantic,,should_not_fill,,no_current_value_or_fixed_source_candidate
atmosphere,,should_not_fill,,no_current_value_or_fixed_source_candidate
atom,,should_not_fill,,no_current_value_or_fixed_source_candidate
attach,,should_not_fill,,no_current_value_or_fixed_source_candidate
attack,,should_not_fill,,no_current_value_or_fixed_source_candidate
attain,,should_not_fill,,no_current_value_or_fixed_source_candidate
attempt,,should_not_fill,,no_current_value_or_fixed_source_candidate
attend,,should_not_fill,,no_current_value_or_fixed_source_candidate
attention,,should_not_fill,,no_current_value_or_fixed_source_candidate
attitude,,should_not_fill,,no_current_value_or_fixed_source_candidate
attract,,should_not_fill,,no_current_value_or_fixed_source_candidate
attraction,,should_not_fill,,no_current_value_or_fixed_source_candidate
attractive,,should_not_fill,,no_current_value_or_fixed_source_candidate
audience,,should_not_fill,,no_current_value_or_fixed_source_candidate
august,,should_not_fill,,no_current_value_or_fixed_source_candidate
aunt,,should_not_fill,,no_current_value_or_fixed_source_candidate
australia,,should_not_fill,,no_current_value_or_fixed_source_candidate
australian,,should_not_fill,,no_current_value_or_fixed_source_candidate
author,,should_not_fill,,no_current_value_or_fixed_source_candidate
authority,,should_not_fill,,no_current_value_or_fixed_source_candidate
automatic,,should_not_fill,,no_current_value_or_fixed_source_candidate
autonomous,,should_not_fill,,no_current_value_or_fixed_source_candidate
autumn,,should_not_fill,,no_current_value_or_fixed_source_candidate
available,,should_not_fill,,no_current_value_or_fixed_source_candidate
avenue,,should_not_fill,,no_current_value_or_fixed_source_candidate
average,,should_not_fill,,no_current_value_or_fixed_source_candidate
avoid,,should_not_fill,,no_current_value_or_fixed_source_candidate
awake,,should_not_fill,,no_current_value_or_fixed_source_candidate
award,,should_not_fill,,no_current_value_or_fixed_source_candidate
aware,,should_not_fill,,no_current_value_or_fixed_source_candidate
away,,should_not_fill,,no_current_value_or_fixed_source_candidate
awesome,,should_not_fill,,no_current_value_or_fixed_source_candidate
awful,,should_not_fill,,no_current_value_or_fixed_source_candidate
awkward,,should_not_fill,,no_current_value_or_fixed_source_candidate
baby,,should_not_fill,,no_current_value_or_fixed_source_candidate
back,,should_not_fill,,no_current_value_or_fixed_source_candidate
background,,should_not_fill,,no_current_value_or_fixed_source_candidate
backward,,should_not_fill,,no_current_value_or_fixed_source_candidate
bacon,,should_not_fill,,no_current_value_or_fixed_source_candidate
bad,,auto_fill_candidate,"r:worse,t:worst",ECDICT_exchange_has_reciprocal_in_vocabulary_candidate_candidate_only_no_write
badly,,should_not_fill,,no_current_value_or_fixed_source_candidate
badminton,,should_not_fill,,no_current_value_or_fixed_source_candidate
bag,,should_not_fill,,no_current_value_or_fixed_source_candidate
bake,,should_not_fill,,no_current_value_or_fixed_source_candidate
bakery,,should_not_fill,,no_current_value_or_fixed_source_candidate
balance,,should_not_fill,,no_current_value_or_fixed_source_candidate
ball,,should_not_fill,,no_current_value_or_fixed_source_candidate
ballet,,should_not_fill,,no_current_value_or_fixed_source_candidate
balloon,,should_not_fill,,no_current_value_or_fixed_source_candidate
bamboo,,should_not_fill,,no_current_value_or_fixed_source_candidate
ban,,should_not_fill,,no_current_value_or_fixed_source_candidate
banana,,should_not_fill,,no_current_value_or_fixed_source_candidate
band,,should_not_fill,,no_current_value_or_fixed_source_candidate
bang,,should_not_fill,,no_current_value_or_fixed_source_candidate
bank,,should_not_fill,,no_current_value_or_fixed_source_candidate
bar,,should_not_fill,,no_current_value_or_fixed_source_candidate
barbecue,,should_not_fill,,no_current_value_or_fixed_source_candidate
bare,,should_not_fill,,no_current_value_or_fixed_source_candidate
barely,,should_not_fill,,no_current_value_or_fixed_source_candidate
bark,,should_not_fill,,no_current_value_or_fixed_source_candidate
barrier,,should_not_fill,,no_current_value_or_fixed_source_candidate
base,,should_not_fill,,no_current_value_or_fixed_source_candidate
baseball,,should_not_fill,,no_current_value_or_fixed_source_candidate
basement,,should_not_fill,,no_current_value_or_fixed_source_candidate
basic,,should_not_fill,,no_current_value_or_fixed_source_candidate
basin,,should_not_fill,,no_current_value_or_fixed_source_candidate
basis,,should_not_fill,,no_current_value_or_fixed_source_candidate
basket,,should_not_fill,,no_current_value_or_fixed_source_candidate
basketball,,should_not_fill,,no_current_value_or_fixed_source_candidate
bat,,should_not_fill,,no_current_value_or_fixed_source_candidate
bath,,should_not_fill,,no_current_value_or_fixed_source_candidate
bathroom,,should_not_fill,,no_current_value_or_fixed_source_candidate
battery,,should_not_fill,,no_current_value_or_fixed_source_candidate
battle,,should_not_fill,,no_current_value_or_fixed_source_candidate
bay,,should_not_fill,,no_current_value_or_fixed_source_candidate
bc,,should_not_fill,,no_current_value_or_fixed_source_candidate
be,,auto_fill_candidate,i:being,ECDICT_exchange_has_reciprocal_in_vocabulary_candidate_candidate_only_no_write
beach,,should_not_fill,,no_current_value_or_fixed_source_candidate
beam,,should_not_fill,,no_current_value_or_fixed_source_candidate
bean,,should_not_fill,,no_current_value_or_fixed_source_candidate
bear,,auto_fill_candidate,d:born,ECDICT_exchange_has_reciprocal_in_vocabulary_candidate_candidate_only_no_write
beard,,should_not_fill,,no_current_value_or_fixed_source_candidate
beast,,should_not_fill,,no_current_value_or_fixed_source_candidate
beat,,should_not_fill,,no_current_value_or_fixed_source_candidate
beautiful,,should_not_fill,,no_current_value_or_fixed_source_candidate
beauty,,should_not_fill,,no_current_value_or_fixed_source_candidate
because,,should_not_fill,,no_current_value_or_fixed_source_candidate
become,,should_not_fill,,no_current_value_or_fixed_source_candidate
bed,,should_not_fill,,no_current_value_or_fixed_source_candidate
bedroom,,should_not_fill,,no_current_value_or_fixed_source_candidate
bee,,should_not_fill,,no_current_value_or_fixed_source_candidate
beef,,should_not_fill,,no_current_value_or_fixed_source_candidate
beer,,should_not_fill,,no_current_value_or_fixed_source_candidate
before,,should_not_fill,,no_current_value_or_fixed_source_candidate
beg,,should_not_fill,,no_current_value_or_fixed_source_candidate
begin,,auto_fill_candidate,i:beginning,ECDICT_exchange_has_reciprocal_in_vocabulary_candidate_candidate_only_no_write
beginning,,auto_fill_candidate,0:begin,ECDICT_exchange_has_reciprocal_in_vocabulary_candidate_candidate_only_no_write
behalf,,should_not_fill,,no_current_value_or_fixed_source_candidate
behave,,should_not_fill,,no_current_value_or_fixed_source_candidate
behavior,,should_not_fill,,no_current_value_or_fixed_source_candidate
behind,,should_not_fill,,no_current_value_or_fixed_source_candidate
being,,auto_fill_candidate,0:be,ECDICT_exchange_has_reciprocal_in_vocabulary_candidate_candidate_only_no_write
belgium,,should_not_fill,,no_current_value_or_fixed_source_candidate
belief,,should_not_fill,,no_current_value_or_fixed_source_candidate
believe,,should_not_fill,,no_current_value_or_fixed_source_candidate
bell,,should_not_fill,,no_current_value_or_fixed_source_candidate
belly,,should_not_fill,,no_current_value_or_fixed_source_candidate
belong,,should_not_fill,,no_current_value_or_fixed_source_candidate
below,,should_not_fill,,no_current_value_or_fixed_source_candidate
belt,,should_not_fill,,no_current_value_or_fixed_source_candidate
bench,,should_not_fill,,no_current_value_or_fixed_source_candidate
bend,,should_not_fill,,no_current_value_or_fixed_source_candidate
beneath,,should_not_fill,,no_current_value_or_fixed_source_candidate
beneficial,,should_not_fill,,no_current_value_or_fixed_source_candidate
benefit,,should_not_fill,,no_current_value_or_fixed_source_candidate
beside,,should_not_fill,,no_current_value_or_fixed_source_candidate
besides,,should_not_fill,,no_current_value_or_fixed_source_candidate
best,,auto_fill_candidate,0:good,ECDICT_exchange_has_reciprocal_in_vocabulary_candidate_candidate_only_no_write
bet,,should_not_fill,,no_current_value_or_fixed_source_candidate
better,,auto_fill_candidate,0:good,ECDICT_exchange_has_reciprocal_in_vocabulary_candidate_candidate_only_no_write
between,,should_not_fill,,no_current_value_or_fixed_source_candidate
beyond,,should_not_fill,,no_current_value_or_fixed_source_candidate
bicycle,,should_not_fill,,no_current_value_or_fixed_source_candidate
bid,,should_not_fill,,no_current_value_or_fixed_source_candidate
big,,should_not_fill,,no_current_value_or_fixed_source_candidate
bike,,should_not_fill,,no_current_value_or_fixed_source_candidate
bill,,should_not_fill,,no_current_value_or_fixed_source_candidate
billion,,should_not_fill,,no_current_value_or_fixed_source_candidate
biology,,should_not_fill,,no_current_value_or_fixed_source_candidate
bird,,should_not_fill,,no_current_value_or_fixed_source_candidate
birth,,should_not_fill,,no_current_value_or_fixed_source_candidate
birthday,,should_not_fill,,no_current_value_or_fixed_source_candidate
biscuit,,should_not_fill,,no_current_value_or_fixed_source_candidate
bishop,,should_not_fill,,no_current_value_or_fixed_source_candidate
bit,,auto_fill_candidate,0:bite,ECDICT_exchange_has_reciprocal_in_vocabulary_candidate_candidate_only_no_write
bite,,auto_fill_candidate,"p:bit,d:bit",ECDICT_exchange_has_reciprocal_in_vocabulary_candidate_candidate_only_no_write
bitter,,should_not_fill,,no_current_value_or_fixed_source_candidate
black,,should_not_fill,,no_current_value_or_fixed_source_candidate
blackboard,,should_not_fill,,no_current_value_or_fixed_source_candidate
blame,,should_not_fill,,no_current_value_or_fixed_source_candidate
blank,,should_not_fill,,no_current_value_or_fixed_source_candidate
blanket,,should_not_fill,,no_current_value_or_fixed_source_candidate
bleed,,should_not_fill,,no_current_value_or_fixed_source_candidate
bless,,should_not_fill,,no_current_value_or_fixed_source_candidate
blind,,should_not_fill,,no_current_value_or_fixed_source_candidate
block,,should_not_fill,,no_current_value_or_fixed_source_candidate
blog,,should_not_fill,,no_current_value_or_fixed_source_candidate
blood,,should_not_fill,,no_current_value_or_fixed_source_candidate
blouse,,should_not_fill,,no_current_value_or_fixed_source_candidate
blow,,should_not_fill,,no_current_value_or_fixed_source_candidate
blue,,should_not_fill,,no_current_value_or_fixed_source_candidate
board,,should_not_fill,,no_current_value_or_fixed_source_candidate
boat,,should_not_fill,,no_current_value_or_fixed_source_candidate
body,,should_not_fill,,no_current_value_or_fixed_source_candidate
boil,,should_not_fill,,no_current_value_or_fixed_source_candidate
bomb,,should_not_fill,,no_current_value_or_fixed_source_candidate
bond,,should_not_fill,,no_current_value_or_fixed_source_candidate
bone,,should_not_fill,,no_current_value_or_fixed_source_candidate
bonus,,should_not_fill,,no_current_value_or_fixed_source_candidate
book,,should_not_fill,,no_current_value_or_fixed_source_candidate
boom,,should_not_fill,,no_current_value_or_fixed_source_candidate
boost,,should_not_fill,,no_current_value_or_fixed_source_candidate
boot,,should_not_fill,,no_current_value_or_fixed_source_candidate
booth,,should_not_fill,,no_current_value_or_fixed_source_candidate
border,,should_not_fill,,no_current_value_or_fixed_source_candidate
bored,,should_not_fill,,no_current_value_or_fixed_source_candidate
boring,,should_not_fill,,no_current_value_or_fixed_source_candidate
born,,auto_fill_candidate,0:bear,ECDICT_exchange_has_reciprocal_in_vocabulary_candidate_candidate_only_no_write
borrow,,should_not_fill,,no_current_value_or_fixed_source_candidate
boss,,should_not_fill,,no_current_value_or_fixed_source_candidate
botanical,,should_not_fill,,no_current_value_or_fixed_source_candidate
both,,should_not_fill,,no_current_value_or_fixed_source_candidate
bother,,should_not_fill,,no_current_value_or_fixed_source_candidate
bottle,,should_not_fill,,no_current_value_or_fixed_source_candidate
bottom,,should_not_fill,,no_current_value_or_fixed_source_candidate
bounce,,should_not_fill,,no_current_value_or_fixed_source_candidate
bound,,should_not_fill,,no_current_value_or_fixed_source_candidate
boundary,,should_not_fill,,no_current_value_or_fixed_source_candidate
bow,,should_not_fill,,no_current_value_or_fixed_source_candidate
bowl,,auto_fill_candidate,i:bowling,ECDICT_exchange_has_reciprocal_in_vocabulary_candidate_candidate_only_no_write
bowling,,auto_fill_candidate,0:bowl,ECDICT_exchange_has_reciprocal_in_vocabulary_candidate_candidate_only_no_write
box,,auto_fill_candidate,i:boxing,ECDICT_exchange_has_reciprocal_in_vocabulary_candidate_candidate_only_no_write
boxing,,auto_fill_candidate,0:box,ECDICT_exchange_has_reciprocal_in_vocabulary_candidate_candidate_only_no_write
boy,,should_not_fill,,no_current_value_or_fixed_source_candidate
brain,,should_not_fill,,no_current_value_or_fixed_source_candidate
branch,,should_not_fill,,no_current_value_or_fixed_source_candidate
brand,,should_not_fill,,no_current_value_or_fixed_source_candidate
brave,,should_not_fill,,no_current_value_or_fixed_source_candidate
bread,,should_not_fill,,no_current_value_or_fixed_source_candidate
