word,field,value,trace_status,selected_source,note
able,tags,description,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
abnormal,phonetic,/æbˈnɔrməl/,confirmed,ipa-dict(en_US/CMUdict),corroborated
abnormal,pos,n./adj.,confirmed,ECDICT,
abnormal,meaning_cn,反常的；变态的,confirmed,teacher_pdf_gloss,
abnormal,level,4,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=selective_required;paper_hits=0;ECDICT_rank_input=snapshotted
abnormal,gaokao_frequency,low,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=0;scope=historical_partial_2010_2022
abnormal,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
abnormal,tags,description,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
aboard,phonetic,/əˈbɔrd/,confirmed,ipa-dict(en_US/CMUdict),corroborated
aboard,pos,adv./prep.,confirmed,ECDICT,
aboard,meaning_cn,在船；车,confirmed,teacher_pdf_gloss,
aboard,level,4,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=selective_required;paper_hits=0;ECDICT_rank_input=snapshotted
aboard,gaokao_frequency,low,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=0;scope=historical_partial_2010_2022
aboard,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
aboard,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
abolish,phonetic,/əˈbɑlɪʃ/,confirmed,ipa-dict(en_US/CMUdict),corroborated
abolish,pos,v.,confirmed,ECDICT,
abolish,meaning_cn,废除；废止,confirmed,teacher_pdf_gloss,
abolish,level,4,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=extension;paper_hits=0;ECDICT_rank_input=snapshotted
abolish,gaokao_frequency,low,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=0;scope=historical_partial_2010_2022
abolish,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
abolish,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
abortion,phonetic,/əˈbɔrʃən/,confirmed,ipa-dict(en_US/CMUdict),corroborated
abortion,pos,n.,confirmed,ECDICT,
abortion,meaning_cn,人工流产；堕胎,confirmed,teacher_pdf_gloss,
abortion,level,4,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=extension;paper_hits=0;ECDICT_rank_input=snapshotted
abortion,gaokao_frequency,low,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=0;scope=historical_partial_2010_2022
abortion,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
abortion,tags,description,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
about,phonetic,/əˈbaʊt/,confirmed,ipa-dict(en_US/CMUdict),corroborated
about,pos,prep.,confirmed,curated_function_words,
about,meaning_cn,大约；到处,confirmed,teacher_pdf_gloss,
about,level,1,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=junior;paper_hits=30;ECDICT_rank_input=snapshotted
about,gaokao_frequency,high,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=30;scope=historical_partial_2010_2022
about,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
about,tags,description,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
above,phonetic,/əˈbəv/,confirmed,ipa-dict(en_US/CMUdict),corroborated
above,pos,prep.,confirmed,curated_function_words,
above,meaning_cn,在；上面,confirmed,teacher_pdf_gloss,
above,level,1,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=junior;paper_hits=11;ECDICT_rank_input=snapshotted
above,gaokao_frequency,high,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=11;scope=historical_partial_2010_2022
above,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
above,tags,description,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
abroad,phonetic,/əˈbrɔd/,confirmed,ipa-dict(en_US/CMUdict),corroborated
abroad,pos,adj./adv.,confirmed,ECDICT,
abroad,meaning_cn,到国外,confirmed,teacher_pdf_gloss,
abroad,level,3,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=junior;paper_hits=2;ECDICT_rank_input=snapshotted
abroad,gaokao_frequency,medium,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=2;scope=historical_partial_2010_2022
abroad,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
abroad,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
absence,phonetic,/ˈæbsəns/,confirmed,ipa-dict(en_US/CMUdict),corroborated
absence,pos,n.,confirmed,ECDICT,
absence,meaning_cn,不在；缺席,confirmed,teacher_pdf_gloss,
absence,level,3,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=selective_required;paper_hits=2;ECDICT_rank_input=snapshotted
absence,gaokao_frequency,medium,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=2;scope=historical_partial_2010_2022
absence,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
absence,tags,description,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
absent,phonetic,/ˈæbsənt/,confirmed,ipa-dict(en_US/CMUdict),corroborated
absent,pos,v./adj.,confirmed,ECDICT,
absent,meaning_cn,缺席的；不在的,confirmed,teacher_pdf_gloss,
absent,level,4,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=junior;paper_hits=1;ECDICT_rank_input=snapshotted
absent,gaokao_frequency,low,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=1;scope=historical_partial_2010_2022
absent,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
absent,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
absolute,phonetic,/ˈæbsəˌlut/,confirmed,ipa-dict(en_US/CMUdict),corroborated
absolute,pos,n./adj.,confirmed,ECDICT,
absolute,meaning_cn,绝对的；完全的,confirmed,teacher_pdf_gloss,
absolute,level,3,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=extension;paper_hits=1;ECDICT_rank_input=snapshotted
absolute,gaokao_frequency,low,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=1;scope=historical_partial_2010_2022
absolute,word_family,absolutely,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
absolute,tags,description,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
absolutely,phonetic,/ˌæbsəˈlutli/,confirmed,ipa-dict(en_US/CMUdict),corroborated
absolutely,pos,adv.,confirmed,ECDICT,
absolutely,meaning_cn,完全地；绝对地,confirmed,ECDICT,
absolutely,level,2,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=required;paper_hits=4;ECDICT_rank_input=snapshotted
absolutely,gaokao_frequency,medium,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=4;scope=historical_partial_2010_2022
absolutely,word_family,absolute,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
absolutely,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
absorb,phonetic,/əbˈzɔrb/,confirmed,ipa-dict(en_US/CMUdict),corroborated
absorb,pos,v.,confirmed,ECDICT,
absorb,meaning_cn,吸收；使全神贯注,confirmed,teacher_pdf_gloss,
absorb,level,2,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=selective_required;paper_hits=4;ECDICT_rank_input=snapshotted
absorb,gaokao_frequency,medium,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=4;scope=historical_partial_2010_2022
absorb,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
absorb,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
abstract,phonetic,/ˈæbˌstrækt/,confirmed,ipa-dict(en_US/CMUdict),corroborated
abstract,pos,n./v./adj.,confirmed,ECDICT,
abstract,meaning_cn,抽象的；摘要,confirmed,teacher_pdf_gloss,
abstract,level,4,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=selective_required;paper_hits=1;ECDICT_rank_input=snapshotted
abstract,gaokao_frequency,low,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=1;scope=historical_partial_2010_2022
abstract,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
abstract,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
abuse,phonetic,/əbˈjus/,confirmed,ipa-dict(en_US/CMUdict),corroborated
abuse,pos,n./v.,confirmed,ECDICT,
abuse,meaning_cn,滥用；虐待,confirmed,teacher_pdf_gloss,
abuse,level,4,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=selective_required;paper_hits=0;ECDICT_rank_input=snapshotted
abuse,gaokao_frequency,low,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=0;scope=historical_partial_2010_2022
abuse,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
abuse,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
academic,phonetic,/ˌækəˈdɛmɪk/,confirmed,ipa-dict(en_US/CMUdict),corroborated
academic,pos,n./adj.,confirmed,ECDICT,
academic,meaning_cn,学院的；学术的,confirmed,teacher_pdf_gloss,
academic,level,3,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=selective_required;paper_hits=2;ECDICT_rank_input=snapshotted
academic,gaokao_frequency,medium,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=2;scope=historical_partial_2010_2022
academic,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
academic,tags,description,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
academy,phonetic,/əˈkædəmi/,confirmed,ipa-dict(en_US/CMUdict),corroborated
academy,pos,n.,confirmed,ECDICT,
academy,meaning_cn,学会；研究院,confirmed,teacher_pdf_gloss,
academy,level,3,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=extension;paper_hits=2;ECDICT_rank_input=snapshotted
academy,gaokao_frequency,medium,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=2;scope=historical_partial_2010_2022
academy,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
academy,tags,science,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
accent,phonetic,/ˈækˌsɛnt/,confirmed,ipa-dict(en_US/CMUdict),corroborated
accent,pos,n./v.,confirmed,ECDICT,
accent,meaning_cn,口音；音调,confirmed,teacher_pdf_gloss,
accent,level,4,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=selective_required;paper_hits=1;ECDICT_rank_input=snapshotted
accent,gaokao_frequency,low,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=1;scope=historical_partial_2010_2022
accent,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
accent,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
accept,phonetic,/ækˈsɛpt/,confirmed,ipa-dict(en_US/CMUdict),corroborated
accept,pos,v.,confirmed,ECDICT,
accept,meaning_cn,接受,confirmed,teacher_pdf_gloss,
accept,level,1,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=junior;paper_hits=12;ECDICT_rank_input=snapshotted
accept,gaokao_frequency,high,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=12;scope=historical_partial_2010_2022
accept,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
accept,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
access,phonetic,/ˈækˌsɛs/,confirmed,ipa-dict(en_US/CMUdict),corroborated
access,pos,n./v.,confirmed,ECDICT,
access,meaning_cn,使用权；访问,confirmed,curated_override,
access,level,3,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=selective_required;paper_hits=3;ECDICT_rank_input=snapshotted
access,gaokao_frequency,medium,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=3;scope=historical_partial_2010_2022
access,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
access,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
accessible,phonetic,/ækˈsɛsəbəl/,confirmed,ipa-dict(en_US/CMUdict),corroborated
accessible,pos,adj.,confirmed,ECDICT,
accessible,meaning_cn,可到达的；可接受的,confirmed,teacher_pdf_gloss,
accessible,level,3,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=extension;paper_hits=3;ECDICT_rank_input=snapshotted
accessible,gaokao_frequency,medium,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=3;scope=historical_partial_2010_2022
accessible,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
accessible,tags,description,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
accident,phonetic,/ˈæksədənt/,confirmed,ipa-dict(en_US/CMUdict),corroborated
accident,pos,n.,confirmed,ECDICT,
accident,meaning_cn,事故；意外的事,confirmed,teacher_pdf_gloss,
accident,level,2,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=required;paper_hits=6;ECDICT_rank_input=snapshotted
accident,gaokao_frequency,high,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=6;scope=historical_partial_2010_2022
accident,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
accident,tags,description,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
accommodation,phonetic,/əˌkɑməˈdeɪʃən/,confirmed,ipa-dict(en_US/CMUdict),corroborated
accommodation,pos,n.,confirmed,ECDICT,
accommodation,meaning_cn,住宿；膳宿,confirmed,teacher_pdf_gloss,
accommodation,level,3,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=selective_required;paper_hits=1;ECDICT_rank_input=snapshotted
accommodation,gaokao_frequency,low,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=1;scope=historical_partial_2010_2022
accommodation,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
accommodation,tags,description,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
accompany,phonetic,/əˈkəmpəni/,confirmed,ipa-dict(en_US/CMUdict),corroborated
accompany,pos,v.,confirmed,ECDICT,
accompany,meaning_cn,陪同；陪伴,confirmed,teacher_pdf_gloss,
accompany,level,3,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=selective_required;paper_hits=3;ECDICT_rank_input=snapshotted
accompany,gaokao_frequency,medium,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=3;scope=historical_partial_2010_2022
accompany,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
accompany,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
accomplish,phonetic,/əˈkɑmplɪʃ/,confirmed,ipa-dict(en_US/CMUdict),corroborated
accomplish,pos,v.,confirmed,ECDICT,
accomplish,meaning_cn,完成；实现,confirmed,teacher_pdf_gloss,
accomplish,level,3,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=extension;paper_hits=3;ECDICT_rank_input=snapshotted
accomplish,gaokao_frequency,medium,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=3;scope=historical_partial_2010_2022
accomplish,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
accomplish,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
account,phonetic,/əˈkaʊnt/,confirmed,ipa-dict(en_US/CMUdict),corroborated
account,pos,n./v.,confirmed,ECDICT,
account,meaning_cn,帐目；描述,confirmed,teacher_pdf_gloss,
account,level,2,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=required;paper_hits=7;ECDICT_rank_input=snapshotted
account,gaokao_frequency,high,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=7;scope=historical_partial_2010_2022
account,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
account,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
accountant,phonetic,/əˈkaʊntənt/,confirmed,ipa-dict(en_US/CMUdict),corroborated
accountant,pos,n.,confirmed,ECDICT,
accountant,meaning_cn,会计；会计师,confirmed,teacher_pdf_gloss,
accountant,level,4,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=extension;paper_hits=1;ECDICT_rank_input=snapshotted
accountant,gaokao_frequency,low,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=1;scope=historical_partial_2010_2022
accountant,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
accountant,tags,description,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
accuracy,phonetic,/ˈækjɝəsi/,confirmed,ipa-dict(en_US/CMUdict),corroborated
accuracy,pos,n.,confirmed,ECDICT,
accuracy,meaning_cn,准确；精确,confirmed,teacher_pdf_gloss,
accuracy,level,3,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=extension;paper_hits=2;ECDICT_rank_input=snapshotted
accuracy,gaokao_frequency,medium,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=2;scope=historical_partial_2010_2022
accuracy,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
accuracy,tags,description,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
accurate,phonetic,/ˈækjɝət/,confirmed,ipa-dict(en_US/CMUdict),corroborated
accurate,pos,adj.,confirmed,ECDICT,
accurate,meaning_cn,正确的；精确的,confirmed,ECDICT,
accurate,level,3,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=selective_required;paper_hits=1;ECDICT_rank_input=snapshotted
accurate,gaokao_frequency,low,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=1;scope=historical_partial_2010_2022
accurate,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
accurate,tags,description,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
accuse,phonetic,/əkˈjuz/,confirmed,ipa-dict(en_US/CMUdict),corroborated
accuse,pos,v.,confirmed,ECDICT,
accuse,meaning_cn,控告；谴责,confirmed,teacher_pdf_gloss,
accuse,level,4,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=selective_required;paper_hits=0;ECDICT_rank_input=snapshotted
accuse,gaokao_frequency,low,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=0;scope=historical_partial_2010_2022
accuse,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
accuse,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
ache,phonetic,/ˈeɪk/,confirmed,ipa-dict(en_US/CMUdict),corroborated
ache,pos,n./v.,confirmed,ECDICT,
ache,meaning_cn,痛；疼痛,confirmed,teacher_pdf_gloss,
ache,level,4,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=required;paper_hits=1;ECDICT_rank_input=snapshotted
ache,gaokao_frequency,low,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=1;scope=historical_partial_2010_2022
ache,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
ache,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
achieve,phonetic,/əˈtʃiv/,confirmed,ipa-dict(en_US/CMUdict),corroborated
achieve,pos,v.,confirmed,ECDICT,
achieve,meaning_cn,达到；取得,confirmed,teacher_pdf_gloss,
achieve,level,2,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=junior;paper_hits=6;ECDICT_rank_input=snapshotted
achieve,gaokao_frequency,high,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=6;scope=historical_partial_2010_2022
achieve,word_family,achievement,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
achieve,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
achievement,phonetic,/əˈtʃivmənt/,confirmed,ipa-dict(en_US/CMUdict),corroborated
achievement,pos,n.,confirmed,ECDICT,
achievement,meaning_cn,成就；成绩,confirmed,teacher_pdf_gloss,
achievement,level,3,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=required;paper_hits=2;ECDICT_rank_input=snapshotted
achievement,gaokao_frequency,medium,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=2;scope=historical_partial_2010_2022
achievement,word_family,achieve,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
achievement,tags,description,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
acid,phonetic,/ˈæsəd/,confirmed,ipa-dict(en_US/CMUdict),corroborated
acid,pos,n./adj.,confirmed,ECDICT,
acid,meaning_cn,酸的,confirmed,teacher_pdf_gloss,
acid,level,4,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=selective_required;paper_hits=0;ECDICT_rank_input=snapshotted
